00VS               20080711                                                                                   
0601VSA0d       20080101001260100000010000 0000000000002248   
0601VSA0d       20080101001270100000010000 0000000000002260   
0601VSA0d       20080101001280100000010000 0000000000002271   
0601VSA0d       20080101001290100000010000 0000000000002285   
0601VSA0d       20080101001300100000010000 0000000000002299   
0601VSA0d       20080101001310100000010000 0000000000002313   
0601VSA0d       20080101001320100000010000 0000000000002325   
0601VSA0d       20080101001330100000010000 0000000000002338   
0601VSA0d       20080101001340100000010000 0000000000002351   
0601VSA0d       20080101001350100000010000 0000000000002364   
0601VSA0d       20080101001360100000010000 0000000000002374   
0601VSA0d       20080101001370100000010000 0000000000002387   
0601VSA0d       20080101001380100000010000 0000000000002400   
0601VSA0d       20080101001390100000010000 0000000000002411   
0601VSA0d       20080101001400100000010000 0000000000002423   
0601VSA0d       20080101001410100000010000 0000000000002436   
0601VSA0d       20080101001420100000010000 0000000000002446   
0601VSA0d       20080101001430100000010000 0000000000002452   
0601VSA0d       20080101001440100000010000 0000000000002459   
0601VSA0d       20080101001450100000010000 0000000000002467   
0601VSA0d       20080101001460100000010000 0000000000002475   
0601VSA0d       20080101001470100000010000 0000000000002481   
0601VSA0d       20080101001480100000010000 0000000000002488   
0601VSA0d       20080101001490100000010000 0000000000002495   
0601VSA0d       20080101001500100000010000 0000000000002503   
0601VSA0d       20080101001510100000010000 0000000000002508   
0601VSA0d       20080101001520100000010000 0000000000002515   
0601VSA0d       20080101001530100000010000 0000000000002522   
0601VSA0d       20080101001540100000010000 0000000000002528   
0601VSA0d       20080101001550100000010000 0000000000002534   
0601VSA0d       20080101001560100000010000 0000000000002541   
0601VSA0d       20080101001570100000010000 0000000000002548   
0601VSA0d       20080101001580100000010000 0000000000002554   
0601VSA0d       20080101001590100000010000 0000000000002560   
0601VSA0d       20080101001600100000010000 0000000000002566   
0601VSA0d       20080101001610100000010000 0000000000002572   
0601VSA0d       20080101001620100000010000 0000000000002577   
0601VSA0d       20080101001630100000010000 0000000000002583   
0601VSA0d       20080101001640100000010000 0000000000002589   
0601VSA0d       20080101001650100000010000 0000000000002596   
0601VSA0d       20080101001660100000010000 0000000000002601   
0601VSA0d       20080101001670100000010000 0000000000002608   
0601VSA0d       20080101001680100000010000 0000000000002615   
0601VSA0d       20080101001690100000010000 0000000000002621   
0601VSA0d       20080101001700100000010000 0000000000002627   
0601VSA0d       20080101001710100000010000 0000000000002634   
0601VSA0d       20080101001720100000010000 0000000000002641   
0601VSA0d       20080101001730100000010000 0000000000002646   
0601VSA0d       20080101001740100000010000 0000000000002653   
0601VSA0d       20080101001750100000010000 0000000000002659   
0601VSA0d       20080101001760100000010000 0000000000002665   
