00VD               20071108                                                                                   
0601VDA0+       20080101000815100000005000 0000013693601680   
0601VDA0+       20080101000820100000005000 0000013826801686   
0601VDA0+       20080101000825100000005000 0000013960601692   
0601VDA0+       20080101000830100000005000 0000014095001698   
0601VDA0+       20080101000835100000005000 0000014230101704   
0601VDA0+       20080101000840100000005000 0000014357301709   
0601VDA0+       20080101000845100000005000 0000014493401715   
0601VDA0+       20080101000850100000005000 0000014630201721   
0601VDA0+       20080101000855100000005000 0000014759001726   
0601VDA0+       20080101000860100000005000 0000014896901732   
0601VDA0+       20080101000865100000005000 0000015026701737   
0601VDA0+       20080101000870100000005000 0000015200601747   
0601VDA0+       20080101000875100000005000 0000015349201754   
0601VDA0+       20080101000880100000005000 0000015489701760   
0601VDA0+       20080101000885100000005000 0000015630801766   
0601VDA0+       20080101000890100000005000 0000015772501772   
0601VDA0+       20080101000895100000005000 0000015914801778   
0601VDA0+       20080101000900100000005000 0000016057701784   
0601VDA0+       20080101000905100000005000 0000016201201790   
0601VDA0+       20080101000910100000005000 0000016345301796   
0601VDA0+       20080101000915100000005000 0000016490101802   
0601VDA0+       20080101000920100000005000 0000016635401808   
0601VDA0+       20080101000925100000005000 0000016772001813   
0601VDA0+       20080101000930100000005000 0000016918501819   
0601VDA0+       20080101000935100000005000 0000017065501825   
0601VDA0+       20080101000940100000005000 0000017203801830   
0601VDA0+       20080101000945100000005000 0000017352001836   
0601VDA0+       20080101000950100000005000 0000017491301841   
0601VDA0+       20080101000955100000005000 0000017631101846   
0601VDA0+       20080101000960100000005000 0000017781001852   
0601VDA0+       20080101000965100000005000 0000017921901857   
0601VDA0+       20080101000970100000005000 0000018063201862   
0601VDA0+       20080101000975100000005000 0000018205101867   
0601VDA0+       20080101000980100000005000 0000018347401872   
0601VDA0+       20080101000985100000005000 0000018490301877   
0601VDA0+       20080101000990100000005000 0000018663301885   
0601VDA0+       20080101000995100000005000 0000018807301890   
0601VDA0+       20080101001000100000005000 0000018951801895   
0601VDA0+       20080101001005100000005000 0000019096901900   
0601VDA0+       20080101001010100000005000 0000019242401905   
0601VDA0+       20080101001015100000005000 0000019398501911   
0601VDA0+       20080101001020100000005000 0000019555301917   
0601VDA0+       20080101001025100000005000 0000019712601923   
0601VDA0+       20080101001030100000005000 0000019870601929   
0601VDA0+       20080101001035100000005000 0000020029101935   
0601VDA0+       20080101001040100000005000 0000020177901940   
0601VDA0+       20080101001045100000005000 0000020337601946   
0601VDA0+       20080101001050100000005000 0000020497901952   
0601VDA0+       20080101001055100000005000 0000020648301957   
0601VDA0+       20080101001060100000005000 0000020841501966   
0601VDA0+       20080101001065100000005000 0000020993101971   
0601VDA0+       20080101001070100000005000 0000021155801977   
0601VDA0+       20080101001075100000005000 0000021340701985   
0601VDA0+       20080101001080100000005000 0000021504701991   
0601VDA0+       20080101001085100000005000 0000021691101999   
0601VDA0+       20080101001090100000005000 0000021845602004   
