00SH               20081219                                                                                   
0601SHA0d       20090101000645100000005000 0000008280001279   
0601SHA0d       20090101000650100000005000 0000008380001284   
0601SHA0d       20090101000655100000005000 0000008490001291   
0601SHA0d       20090101000660100000005000 0000008590001297   
0601SHA0d       20090101000665100000005000 0000008700001303   
0601SHA0d       20090101000670100000005000 0000008800001309   
0601SHA0d       20090101000675100000005000 0000008910001315   
0601SHA0d       20090101000680100000005000 0000009010001320   
0601SHA0d       20090101000685100000005000 0000009130001328   
0601SHA0d       20090101000690100000005000 0000009240001334   
0601SHA0d       20090101000695100000005000 0000009350001341   
0601SHA0d       20090101000700100000005000 0000009470001348   
0601SHA0d       20090101000705100000005000 0000009580001354   
0601SHA0d       20090101000710100000005000 0000009700001361   
0601SHA0d       20090101000715100000005000 0000009810001367   
0601SHA0d       20090101000720100000005000 0000009940001376   
0601SHA0d       20090101000725100000005000 0000010060001383   
0601SHA0d       20090101000730100000005000 0000010190001391   
0601SHA0d       20090101000735100000005000 0000010320001399   
0601SHA0d       20090101000740100000005000 0000010440001406   
0601SHA0d       20090101000745100000005000 0000010570001414   
0601SHA0d       20090101000750100000005000 0000010700001422   
0601SHA0d       20090101000755100000005000 0000010850001432   
0601SHA0d       20090101000760100000005000 0000010980001440   
0601SHA0d       20090101000765100000005000 0000011100001446   
0601SHA0d       20090101000770100000005000 0000011230001454   
0601SHA0d       20090101000775100000005000 0000011360001461   
0601SHA0d       20090101000780100000005000 0000011490001468   
0601SHA0d       20090101000785100000005000 0000011620001476   
0601SHA0d       20090101000790100000005000 0000011750001483   
0601SHA0d       20090101000795100000005000 0000011880001490   
0601SHA0d       20090101000800100000005000 0000012010001497   
0601SHA0d       20090101000805100000005000 0000012130001502   
0601SHA0d       20090101000810100000005000 0000012260001509   
0601SHA0d       20090101000815100000005000 0000012390001516   
0601SHA0d       20090101000820100000005000 0000012520001522   
0601SHA0d       20090101000825100000005000 0000012650001529   
0601SHA0d       20090101000830100000005000 0000012780001535   
0601SHA0d       20090101000835100000005000 0000012910001541   
0601SHA0d       20090101000840100000005000 0000013040001548   
0601SHA0d       20090101000845100000005000 0000013170001554   
0601SHA0d       20090101000850100000005000 0000013300001560   
0601SHA0d       20090101000855100000005000 0000013430001566   
0601SHA0d       20090101000860100000005000 0000013560001572   
0601SHA0d       20090101000865100000005000 0000013690001578   
0601SHA0d       20090101000870100000005000 0000013840001586   
0601SHA0d       20090101000875100000005000 0000013970001592   
0601SHA0d       20090101000880100000005000 0000014100001598   
0601SHA0d       20090101000885100000005000 0000014230001603   
0601SHA0d       20090101000890100000005000 0000014360001609   
0601SHA0d       20090101000895100000005000 0000014490001614   
0601SHA0d       20090101000900100000005000 0000014620001620   
0601SHA0d       20090101000905100000005000 0000014750001625   
0601SHA0d       20090101000910100000005000 0000014880001631   
0601SHA0d       20090101000915100000005000 0000015000001635   
0601SHA0d       20090101000920100000005000 0000015130001640   
0601SHA0d       20090101000925100000005000 0000015250001644   
0601SHA0d       20090101000930100000005000 0000015380001649   
0601SHA0d       20090101000935100000005000 0000015500001653   
0601SHA0d       20090101000940100000005000 0000015630001658   
0601SHA0d       20090101000945100000005000 0000015750001662   
0601SHA0d       20090101000950100000005000 0000015880001667   
0601SHA0d       20090101000955100000005000 0000016000001671   
0601SHA0d       20090101000960100000005000 0000016130001676   
0601SHA0d       20090101000965100000005000 0000016250001680   
0601SHA0d       20090101000970100000005000 0000016380001684   
0601SHA0d       20090101000975100000005000 0000016500001688   
0601SHA0d       20090101000980100000005000 0000016620001692   
0601SHA0d       20090101000985100000005000 0000016750001696   
0601SHA0d       20090101000990100000005000 0000016900001703   
0601SHA0d       20090101000995100000005000 0000017020001706   
0601SHA0d       20090101001000100000005000 0000017150001711   
0601SHA0d       20090101001005100000005000 0000017270001714   
