00BS               20080912                                                                                   
0601BSA0d       20090101002600100000050000 0000000000002702   
0601BSA0d       20090101002650100000050000 0000000000002718   
0601BSA0d       20090101002700100000050000 0000000000002731   
0601BSA0d       20090101002750100000050000 0000000000002746   
0601BSA0d       20090101002800100000050000 0000000000002760   
0601BSA0d       20090101002850100000050000 0000000000002772   
0601BSA0d       20090101002900100000050000 0000000000002785   
0601BSA0d       20090101002950100000050000 0000000000002797   
0601BSA0d       20090101003000100000050000 0000000000002808   
0601BSA0d       20090101003050100000050000 0000000000002820   
0601BSA0d       20090101003100100000050000 0000000000002831   
0601BSA0d       20090101003150100000050000 0000000000002841   
0601BSA0d       20090101003200100000050000 0000000000002852   
0601BSA0d       20090101003250100000050000 0000000000002862   
0601BSA0d       20090101003300100000050000 0000000000002871   
0601BSA0d       20090101003350100000050000 0000000000002881   
0601BSA0d       20090101003400100000050000 0000000000002890   
0601BSA0d       20090101003450100000050000 0000000000002899   
0601BSA0d       20090101003500100000050000 0000000000002908   
0601BSA0d       20090101003550100000050000 0000000000002916   
0601BSA0d       20090101003600100000050000 0000000000002924   
0601BSA0d       20090101003650100000050000 0000000000002932   
0601BSA0d       20090101003700100000050000 0000000000002940   
0601BSA0d       20090101003750100000050000 0000000000002947   
0601BSA0d       20090101003800100000050000 0000000000002955   
0601BSA0d       20090101003850100000050000 0000000000002962   
0601BSA0d       20090101003900100000050000 0000000000002968   
0601BSA0d       20090101003950100000050000 0000000000002975   
0601BSA0d       20090101004000100000050000 0000000000002982   
0601BSA0d       20090101004050100000050000 0000000000002988   
0601BSA0d       20090101004100100000050000 0000000000002995   
0601BSA0d       20090101004150100000050000 0000000000003001   
0601BSA0d       20090101004200100000050000 0000000000003006   
0601BSA0d       20090101004250100000050000 0000000000003013   
0601BSA0d       20090101004300100000050000 0000000000003019   
0601BSA0d       20090101004350100000050000 0000000000003024   
0601BSA0d       20090101004400100000050000 0000000000003029   
0601BSA0d       20090101004450100000050000 0000000000003035   
0601BSA0d       20090101004500100000050000 0000000000003040   
0601BSA0d       20090101004550100000050000 0000000000003045   
0601BSA0d       20090101004600100000050000 0000000000003050   
0601BSA0d       20090101004650100000050000 0000000000003055   
0601BSA0d       20090101004700100000050000 0000000000003060   
0601BSA0d       20090101004750100000050000 0000000000003065   
0601BSA0d       20090101004800100000050000 0000000000003069   
0601BSA0d       20090101004850100000050000 0000000000003073   
0601BSA0d       20090101004900100000050000 0000000000003078   
0601BSA0d       20090101004950100000050000 0000000000003082   
0601BSA0d       20090101005000100000050000 0000000000003086   
0601BSA0d       20090101005050100000050000 0000000000003091   
0601BSA0d       20090101005100100000050000 0000000000003094   
0601BSA0d       20090101005150100000050000 0000000000003098   
0601BSA0d       20090101005200100000050000 0000000000003103   
0601BSA0d       20090101005250100000050000 0000000000003106   
0601BSA0d       20090101005300100000050000 0000000000003110   
0601BSA0d       20090101005350100000050000 0000000000003114   
0601BSA0d       20090101005400100000050000 0000000000003117   
0601BSA0d       20090101005450100000050000 0000000000003121   
0601BSA0d       20090101005500100000050000 0000000000003124   
0601BSA0d       20090101005550100000050000 0000000000003128   
0601BSA0d       20090101005600100000050000 0000000000003131   
0601BSA0d       20090101005650100000050000 0000000000003135   
0601BSA0d       20090101005700100000050000 0000000000003137   
0601BSA0d       20090101005750100000050000 0000000000003141   
0601BSA0d       20090101005800100000050000 0000000000003144   
0601BSA0d       20090101005850100000050000 0000000000003147   
0601BSA0d       20090101005900100000050000 0000000000003150   
0601BSA0d       20090101005950100000050000 0000000000003153   
0601BSA0d       20090101006000100000050000 0000000000003156   
0601BSA0d       20090101006050100000050000 0000000000003159   
0601BSA0d       20090101006100100000050000 0000000000003162   
0601BSA0d       20090101006150100000050000 0000000000003165   
0601BSA0d       20090101006200100000050000 0000000000003167   
0601BSA0d       20090101006250100000050000 0000000000003170   
0601BSA0d       20090101006300100000050000 0000000000003173   
0601BSA0d       20090101006350100000050000 0000000000003175   
0601BSA0d       20090101006400100000050000 0000000000003178   
0601BSA0d       20090101006450100000050000 0000000000003181   
0601BSA0d       20090101006500100000050000 0000000000003183   
0601BSA0d       20090101006550100000050000 0000000000003185   
0601BSA0d       20090101006600100000050000 0000000000003188   
0601BSA0d       20090101006650100000050000 0000000000003190   
0601BSA0d       20090101006700100000050000 0000000000003193   
0601BSA0d       20090101006750100000050000 0000000000003194   
0601BSA0d       20090101006800100000050000 0000000000003195   
0601BSA0d       20090101006850100000050000 0000000000003196   
0601BSA0d       20090101006900100000050000 0000000000003198   
0601BSA0d       20090101006950100000050000 0000000000003199   
0601BSA0d       20090101007000100000050000 0000000000003200   
0601BSA0d       20090101007050100000050000 0000000000003201   
0601BSA0d       20090101007100100000050000 0000000000003202   
0601BSA0d       20090101007150100000050000 0000000000003203   
0601BSA0d       20090101007200100000050000 0000000000003204   
0601BSA0d       20090101007250100000050000 0000000000003205   
0601BSA0d       20090101007300100000050000 0000000000003206   
0601BSA0d       20090101007350100000050000 0000000000003207   
0601BSA0d       20090101007400100000050000 0000000000003208   
0601BSA0d       20090101007450100000050000 0000000000003209   
0601BSA0d       20090101007500100000050000 0000000000003210   
0601BSA0d       20090101007550100000050000 0000000000003211   
0601BSA0d       20090101007600100000050000 0000000000003212   
0601BSA0d       20090101007650100000050000 0000000000003213   
0601BSA0d       20090101007700100000050000 0000000000003214   
0601BSA0d       20090101007750100000050000 0000000000003215   
0601BSA0d       20090101007800100000050000 0000000000003216   
0601BSA0d       20090101007850100000050000 0000000000003216   
0601BSA0d       20090101007900100000050000 0000000000003217   
0601BSA0d       20090101007950100000050000 0000000000003218   
0601BSA0d       20090101008000100000050000 0000000000003219   
0601BSA0d       20090101008050100000050000 0000000000003220   
0601BSA0d       20090101008100100000050000 0000000000003221   
0601BSA0d       20090101008150100000050000 0000000000003221   
0601BSA0d       20090101008200100000050000 0000000000003222   
0601BSA0d       20090101008250100000050000 0000000000003223   
0601BSA0d       20090101008300100000050000 0000000000003224   
0601BSA0d       20090101008350100000050000 0000000000003225   
0601BSA0d       20090101008400100000050000 0000000000003226   
0601BSA0d       20090101008450100000050000 0000000000003226   
0601BSA0d       20090101008500100000050000 0000000000003227   
0601BSA0d       20090101008550100000050000 0000000000003228   
0601BSA0d       20090101008600100000050000 0000000000003228   
0601BSA0d       20090101008650100000050000 0000000000003229   
0601BSA0d       20090101008700100000050000 0000000000003230   
0601BSA0d       20090101008750100000050000 0000000000003230   
0601BSA0d       20090101008800100000050000 0000000000003231   
0601BSA0d       20090101008850100000050000 0000000000003232   
0601BSA0d       20090101008900100000050000 0000000000003233   
0601BSA0d       20090101008950100000050000 0000000000003233   
0601BSA0d       20090101009000100000050000 0000000000003234   
0601BSA0d       20090101009050100000050000 0000000000003235   
0601BSA0d       20090101009100100000050000 0000000000003235   
0601BSA0d       20090101009150100000050000 0000000000003236   
0601BSA0d       20090101009200100000050000 0000000000003237   
0601BSA0d       20090101009250100000050000 0000000000003237   
0601BSA0d       20090101009300100000050000 0000000000003238   
0601BSA0d       20090101009350100000050000 0000000000003238   
0601BSA0d       20090101009400100000050000 0000000000003239   
0601BSA0d       20090101009450100000050000 0000000000003240   
0601BSA0d       20090101009500100000050000 0000000000003240   
0601BSA0d       20090101009550100000050000 0000000000003241   
0601BSA0d       20090101009600100000050000 0000000000003242   
0601BSA0d       20090101009650100000050000 0000000000003242   
0601BSA0d       20090101009700100000050000 0000000000003243   
0601BSA0d       20090101009750100000050000 0000000000003243   
0601BSA0d       20090101009800100000050000 0000000000003244   
0601BSA0d       20090101009850100000050000 0000000000003244   
0601BSA0d       20090101009900100000050000 0000000000003245   
0601BSA0d       20090101009950100000050000 0000000000003245   
0601BSA0d       20090101010000100000100000 0000000000003246   
0601BSA0d       20090101010100100000100000 0000000000003247   
0601BSA0d       20090101010200100000100000 0000000000003249   
0601BSA0d       20090101010300100000100000 0000000000003249   
0601BSA0d       20090101010400100000100000 0000000000003250   
0601BSA0d       20090101010500100000100000 0000000000003252   
0601BSA0d       20090101010600100000100000 0000000000003252   
0601BSA0d       20090101010700100000100000 0000000000003253   
0601BSA0d       20090101010800100000100000 0000000000003254   
0601BSA0d       20090101010900100000100000 0000000000003255   
0601BSA0d       20090101011000100000100000 0000000000003256   
0601BSA0d       20090101011100100000100000 0000000000003257   
0601BSA0d       20090101011200100000100000 0000000000003258   
0601BSA0d       20090101011300100000100000 0000000000003259   
0601BSA0d       20090101011400100000100000 0000000000003260   
0601BSA0d       20090101011500100000100000 0000000000003260   
0601BSA0d       20090101011600100000100000 0000000000003261   
0601BSA0d       20090101011700100000100000 0000000000003262   
0601BSA0d       20090101011800100000100000 0000000000003263   
0601BSA0d       20090101011900100000100000 0000000000003263   
0601BSA0d       20090101012000100000100000 0000000000003264   
0601BSA0d       20090101012100100000100000 0000000000003265   
