00TI               20081223                                                                                   
0601TIA0d       20090101000630100000005000 0000000000001110   
0601TIA0d       20090101000635100000005000 0000000000001120   
0601TIA0d       20090101000640100000005000 0000000000001120   
0601TIA0d       20090101000645100000005000 0000000000001130   
0601TIA0d       20090101000650100000005000 0000000000001140   
0601TIA0d       20090101000655100000005000 0000000000001150   
0601TIA0d       20090101000660100000005000 0000000000001150   
0601TIA0d       20090101000665100000005000 0000000000001160   
0601TIA0d       20090101000670100000005000 0000000000001170   
0601TIA0d       20090101000675100000005000 0000000000001170   
0601TIA0d       20090101000680100000005000 0000000000001180   
0601TIA0d       20090101000685100000005000 0000000000001190   
0601TIA0d       20090101000690100000005000 0000000000001190   
0601TIA0d       20090101000695100000005000 0000000000001200   
0601TIA0d       20090101000700100000005000 0000000000001210   
0601TIA0d       20090101000705100000005000 0000000000001210   
0601TIA0d       20090101000710100000005000 0000000000001220   
0601TIA0d       20090101000715100000005000 0000000000001220   
0601TIA0d       20090101000720100000005000 0000000000001230   
0601TIA0d       20090101000725100000005000 0000000000001240   
0601TIA0d       20090101000730100000005000 0000000000001250   
0601TIA0d       20090101000735100000005000 0000000000001250   
0601TIA0d       20090101000740100000005000 0000000000001260   
0601TIA0d       20090101000745100000005000 0000000000001270   
0601TIA0d       20090101000750100000005000 0000000000001270   
0601TIA0d       20090101000755100000005000 0000000000001280   
0601TIA0d       20090101000760100000005000 0000000000001290   
0601TIA0d       20090101000765100000005000 0000000000001290   
0601TIA0d       20090101000770100000005000 0000000000001300   
0601TIA0d       20090101000775100000005000 0000000000001310   
0601TIA0d       20090101000780100000005000 0000000000001310   
0601TIA0d       20090101000785100000005000 0000000000001320   
0601TIA0d       20090101000790100000005000 0000000000001330   
0601TIA0d       20090101000795100000005000 0000000000001330   
0601TIA0d       20090101000800100000005000 0000000000001340   
0601TIA0d       20090101000805100000005000 0000000000001350   
0601TIA0d       20090101000810100000005000 0000000000001350   
0601TIA0d       20090101000815100000005000 0000000000001360   
0601TIA0d       20090101000820100000005000 0000000000001360   
0601TIA0d       20090101000825100000005000 0000000000001370   
0601TIA0d       20090101000830100000005000 0000000000001380   
0601TIA0d       20090101000835100000005000 0000000000001380   
0601TIA0d       20090101000840100000005000 0000000000001390   
0601TIA0d       20090101000845100000005000 0000000000001390   
0601TIA0d       20090101000850100000005000 0000000000001400   
0601TIA0d       20090101000855100000005000 0000000000001410   
0601TIA0d       20090101000860100000005000 0000000000001410   
0601TIA0d       20090101000865100000005000 0000000000001420   
0601TIA0d       20090101000870100000005000 0000000000001420   
