00AR               20071130                                                                                   
0601ARA0d       20080101000720100000005000 0000009300001287   
0601ARA0d       20080101000725100000005000 0000009410001293   
0601ARA0d       20080101000730100000005000 0000009530001301   
0601ARA0d       20080101000735100000005000 0000009640001307   
0601ARA0d       20080101000740100000005000 0000009740001312   
0601ARA0d       20080101000745100000005000 0000009850001318   
0601ARA0d       20080101000750100000005000 0000009970001325   
0601ARA0d       20080101000755100000005000 0000010080001331   
0601ARA0d       20080101000760100000005000 0000010190001336   
0601ARA0d       20080101000765100000005000 0000010300001342   
0601ARA0d       20080101000770100000005000 0000010400001346   
0601ARA0d       20080101000775100000005000 0000010530001354   
0601ARA0d       20080101000780100000005000 0000010640001360   
0601ARA0d       20080101000785100000005000 0000010750001365   
0601ARA0d       20080101000790100000005000 0000010850001369   
0601ARA0d       20080101000795100000005000 0000010980001377   
0601ARA0d       20080101000800100000005000 0000011090001382   
0601ARA0d       20080101000805100000005000 0000011200001387   
0601ARA0d       20080101000810100000005000 0000011300001391   
0601ARA0d       20080101000815100000005000 0000011410001396   
0601ARA0d       20080101000820100000005000 0000011540001403   
0601ARA0d       20080101000825100000005000 0000011650001408   
0601ARA0d       20080101000830100000005000 0000011750001411   
0601ARA0d       20080101000835100000005000 0000011860001416   
0601ARA0d       20080101000840100000005000 0000011990001423   
0601ARA0d       20080101000845100000005000 0000012090001427   
0601ARA0d       20080101000850100000005000 0000012200001431   
0601ARA0d       20080101000855100000005000 0000012300001434   
0601ARA0d       20080101000860100000005000 0000012410001439   
0601ARA0d       20080101000865100000005000 0000012530001444   
0601ARA0d       20080101000870100000005000 0000012640001449   
0601ARA0d       20080101000875100000005000 0000012740001452   
0601ARA0d       20080101000880100000005000 0000012850001456   
0601ARA0d       20080101000885100000005000 0000012980001463   
0601ARA0d       20080101000890100000005000 0000013090001467   
0601ARA0d       20080101000895100000005000 0000013190001470   
0601ARA0d       20080101000900100000005000 0000013300001474   
0601ARA0d       20080101000905100000005000 0000013410001478   
0601ARA0d       20080101000910100000005000 0000013530001483   
0601ARA0d       20080101000915100000005000 0000013640001487   
0601ARA0d       20080101000920100000005000 0000013750001491   
0601ARA0d       20080101000925100000005000 0000013860001494   
0601ARA0d       20080101000930100000005000 0000013990001500   
0601ARA0d       20080101000935100000005000 0000014090001503   
0601ARA0d       20080101000940100000005000 0000014200001507   
0601ARA0d       20080101000945100000005000 0000014310001510   
0601ARA0d       20080101000950100000005000 0000014420001514   
0601ARA0d       20080101000955100000005000 0000014540001519   
0601ARA0d       20080101000960100000005000 0000014650001522   
0601ARA0d       20080101000965100000005000 0000014760001526   
0601ARA0d       20080101000970100000005000 0000014870001529   
0601ARA0d       20080101000975100000005000 0000014990001534   
0601ARA0d       20080101000980100000005000 0000015100001537   
0601ARA0d       20080101000985100000005000 0000015210001540   
0601ARA0d       20080101000990100000005000 0000015320001544   
0601ARA0d       20080101000995100000005000 0000015430001547   
0601ARA0d       20080101001000100000005000 0000015550001551   
0601ARA0d       20080101001005100000005000 0000015670001555   
0601ARA0d       20080101001010100000005000 0000015780001559   
0601ARA0d       20080101001015100000005000 0000015900001563   
0601ARA0d       20080101001020100000005000 0000016030001568   
0601ARA0d       20080101001025100000005000 0000016150001572   
0601ARA0d       20080101001030100000005000 0000016270001576   
0601ARA0d       20080101001035100000005000 0000016380001579   
0601ARA0d       20080101001040100000005000 0000016500001583   
0601ARA0d       20080101001045100000005000 0000016640001589   
0601ARA0d       20080101001050100000005000 0000016750001591   
0601ARA0d       20080101001055100000005000 0000016870001595   
0601ARA0d       20080101001060100000005000 0000017010001601   
0601ARA0d       20080101001065100000005000 0000017130001605   
0601ARA0d       20080101001070100000005000 0000017250001608   
0601ARA0d       20080101001075100000005000 0000017400001615   
0601ARA0d       20080101001080100000005000 0000017520001618   
0601ARA0d       20080101001085100000005000 0000017660001624   
0601ARA0d       20080101001090100000005000 0000017780001627   
0601ARA0d       20080101001095100000005000 0000017900001631   
0601ARA0d       20080101001100100000005000 0000018050001637   
0601ARA0d       20080101001105100000005000 0000018170001641   
0601ARA0d       20080101001110100000005000 0000018290001644   
0601ARA0d       20080101001115100000005000 0000018430001649   
0601ARA0d       20080101001120100000005000 0000018550001653   
0601ARA0d       20080101001125100000005000 0000018700001659   
0601ARA0d       20080101001130100000005000 0000018820001662   
0601ARA0d       20080101001135100000005000 0000018940001665   
0601ARA0d       20080101001140100000005000 0000019080001670   
0601ARA0d       20080101001145100000005000 0000019200001673   
0601ARA0d       20080101001150100000005000 0000019320001676   
0601ARA0d       20080101001155100000005000 0000019470001682   
0601ARA0d       20080101001160100000005000 0000019590001685   
0601ARA0d       20080101001165100000005000 0000019710001688   
0601ARA0d       20080101001170100000005000 0000019850001693   
0601ARA0d       20080101001175100000005000 0000019970001696   
0601ARA0d       20080101001180100000005000 0000020120001701   
0601ARA0d       20080101001185100000005000 0000020240001704   
0601ARA0d       20080101001190100000005000 0000020360001707   
0601ARA0d       20080101001195100000005000 0000020510001713   
0601ARA0d       20080101001200100000005000 0000020630001716   
0601ARA0d       20080101001205100000005000 0000020740001718   
0601ARA0d       20080101001210100000005000 0000020890001723   
0601ARA0d       20080101001215100000005000 0000021020001726   
0601ARA0d       20080101001220100000005000 0000021140001729   
0601ARA0d       20080101001225100000005000 0000021290001734   
0601ARA0d       20080101001230100000005000 0000021410001737   
0601ARA0d       20080101001235100000005000 0000021560001742   
0601ARA0d       20080101001240100000005000 0000021680001745   
0601ARA0d       20080101001245100000005000 0000021810001748   
