00BL               20081110                                                                                   
0601BLA0d       20090101000725100000005000 0000010020001377   
0601BLA0d       20090101000730100000005000 0000010150001386   
0601BLA0d       20090101000735100000005000 0000010290001395   
0601BLA0d       20090101000740100000005000 0000010420001403   
0601BLA0d       20090101000745100000005000 0000010550001411   
0601BLA0d       20090101000750100000005000 0000010690001421   
0601BLA0d       20090101000755100000005000 0000010830001430   
0601BLA0d       20090101000760100000005000 0000010960001437   
0601BLA0d       20090101000765100000005000 0000011090001445   
0601BLA0d       20090101000770100000005000 0000011230001454   
0601BLA0d       20090101000775100000005000 0000011370001462   
0601BLA0d       20090101000780100000005000 0000011500001470   
0601BLA0d       20090101000785100000005000 0000011640001478   
0601BLA0d       20090101000790100000005000 0000011780001486   
0601BLA0d       20090101000795100000005000 0000011920001495   
0601BLA0d       20090101000800100000005000 0000012060001503   
0601BLA0d       20090101000805100000005000 0000012200001511   
0601BLA0d       20090101000810100000005000 0000012330001518   
0601BLA0d       20090101000815100000005000 0000012470001525   
0601BLA0d       20090101000820100000005000 0000012610001533   
0601BLA0d       20090101000825100000005000 0000012750001541   
0601BLA0d       20090101000830100000005000 0000012890001548   
0601BLA0d       20090101000835100000005000 0000013030001556   
0601BLA0d       20090101000840100000005000 0000013170001563   
0601BLA0d       20090101000845100000005000 0000013310001571   
0601BLA0d       20090101000850100000005000 0000013450001578   
0601BLA0d       20090101000855100000005000 0000013590001585   
0601BLA0d       20090101000860100000005000 0000013730001592   
0601BLA0d       20090101000865100000005000 0000013870001599   
0601BLA0d       20090101000870100000005000 0000014020001607   
0601BLA0d       20090101000875100000005000 0000014160001614   
0601BLA0d       20090101000880100000005000 0000014300001620   
0601BLA0d       20090101000885100000005000 0000014440001627   
0601BLA0d       20090101000890100000005000 0000014590001635   
0601BLA0d       20090101000895100000005000 0000014730001641   
0601BLA0d       20090101000900100000005000 0000014870001648   
0601BLA0d       20090101000905100000005000 0000015010001654   
0601BLA0d       20090101000910100000005000 0000015150001660   
0601BLA0d       20090101000915100000005000 0000015300001668   
0601BLA0d       20090101000920100000005000 0000015440001674   
0601BLA0d       20090101000925100000005000 0000015580001680   
0601BLA0d       20090101000930100000005000 0000015720001686   
0601BLA0d       20090101000935100000005000 0000015870001693   
0601BLA0d       20090101000940100000005000 0000016010001699   
0601BLA0d       20090101000945100000005000 0000016150001704   
0601BLA0d       20090101000950100000005000 0000016300001711   
0601BLA0d       20090101000955100000005000 0000016440001717   
0601BLA0d       20090101000960100000005000 0000016590001724   
0601BLA0d       20090101000965100000005000 0000016730001729   
0601BLA0d       20090101000970100000005000 0000016880001736   
0601BLA0d       20090101000975100000005000 0000017020001741   
0601BLA0d       20090101000980100000005000 0000017160001747   
0601BLA0d       20090101000985100000005000 0000017310001753   
0601BLA0d       20090101000990100000005000 0000017460001759   
0601BLA0d       20090101000995100000005000 0000017600001764   
0601BLA0d       20090101001000100000005000 0000017750001771   
0601BLA0d       20090101001005100000005000 0000017900001777   
0601BLA0d       20090101001010100000005000 0000018050001783   
0601BLA0d       20090101001015100000005000 0000018200001789   
0601BLA0d       20090101001020100000005000 0000018360001796   
0601BLA0d       20090101001025100000005000 0000018510001801   
0601BLA0d       20090101001030100000005000 0000018670001808   
0601BLA0d       20090101001035100000005000 0000018830001815   
0601BLA0d       20090101001040100000005000 0000018980001821   
0601BLA0d       20090101001045100000005000 0000019140001827   
0601BLA0d       20090101001050100000005000 0000019290001833   
0601BLA0d       20090101001055100000005000 0000019450001839   
0601BLA0d       20090101001060100000005000 0000019620001847   
0601BLA0d       20090101001065100000005000 0000019780001853   
0601BLA0d       20090101001070100000005000 0000019940001859   
0601BLA0d       20090101001075100000005000 0000020110001866   
0601BLA0d       20090101001080100000005000 0000020270001873   
0601BLA0d       20090101001085100000005000 0000020430001879   
0601BLA0d       20090101001090100000005000 0000020590001885   
0601BLA0d       20090101001095100000005000 0000020750001891   
0601BLA0d       20090101001100100000005000 0000020920001898   
0601BLA0d       20090101001105100000005000 0000021080001903   
0601BLA0d       20090101001110100000005000 0000021240001909   
0601BLA0d       20090101001115100000005000 0000021410001916   
0601BLA0d       20090101001120100000005000 0000021570001922   
0601BLA0d       20090101001125100000005000 0000021730001927   
0601BLA0d       20090101001130100000005000 0000021900001934   
0601BLA0d       20090101001135100000005000 0000022060001939   
0601BLA0d       20090101001140100000005000 0000022220001945   
0601BLA0d       20090101001145100000005000 0000022380001950   
0601BLA0d       20090101001150100000005000 0000022540001956   
0601BLA0d       20090101001155100000005000 0000022710001962   
0601BLA0d       20090101001160100000005000 0000022870001967   
0601BLA0d       20090101001165100000005000 0000023030001973   
0601BLA0d       20090101001170100000005000 0000023200001979   
0601BLA0d       20090101001175100000005000 0000023360001984   
0601BLA0d       20090101001180100000005000 0000023530001990   
0601BLA0d       20090101001185100000005000 0000023690001995   
0601BLA0d       20090101001190100000005000 0000023850002000   
0601BLA0d       20090101001195100000005000 0000024020002006   
0601BLA0d       20090101001200100000005000 0000024180002011   
0601BLA0d       20090101001205100000005000 0000024340002016   
0601BLA0d       20090101001210100000005000 0000024500002021   
0601BLA0d       20090101001215100000005000 0000024670002026   
0601BLA0d       20090101001220100000005000 0000024830002031   
0601BLA0d       20090101001225100000005000 0000024990002036   
0601BLA0d       20090101001230100000005000 0000025160002041   
0601BLA0d       20090101001235100000005000 0000025320002046   
0601BLA0d       20090101001240100000005000 0000025480002051   
0601BLA0d       20090101001245100000005000 0000025640002055   
0601BLA0d       20090101001250100000005000 0000025810002061   
0601BLA0d       20090101001255100000005000 0000025970002065   
0601BLA0d       20090101001260100000005000 0000026130002070   
0601BLA0d       20090101001265100000005000 0000026300002075   
0601BLA0d       20090101001270100000005000 0000026460002079   
0601BLA0d       20090101001275100000005000 0000026630002085   
0601BLA0d       20090101001280100000005000 0000026790002089   
0601BLA0d       20090101001285100000005000 0000026960002094   
0601BLA0d       20090101001290100000005000 0000027140002100   
0601BLA0d       20090101001295100000005000 0000027310002105   
0601BLA0d       20090101001300100000005000 0000027480002110   
0601BLA0d       20090101001305100000005000 0000027660002115   
0601BLA0d       20090101001310100000005000 0000027830002120   
0601BLA0d       20090101001315100000005000 0000028000002125   
0601BLA0d       20090101001320100000005000 0000028180002131   
0601BLA0d       20090101001325100000005000 0000028350002136   
0601BLA0d       20090101001330100000005000 0000028530002141   
0601BLA0d       20090101001335100000005000 0000028700002146   
0601BLA0d       20090101001340100000005000 0000028870002150   
0601BLA0d       20090101001345100000005000 0000029050002156   
0601BLA0d       20090101001350100000005000 0000029220002160   
0601BLA0d       20090101001355100000005000 0000029390002165   
0601BLA0d       20090101001360100000005000 0000029570002170   
0601BLA0d       20090101001365100000005000 0000029740002175   
0601BLA0d       20090101001370100000005000 0000029920002180   
0601BLA0d       20090101001375100000005000 0000030090002184   
0601BLA0d       20090101001380100000005000 0000030260002189   
0601BLA0d       20090101001385100000005000 0000030440002194   
0601BLA0d       20090101001390100000005000 0000030610002198   
0601BLA0d       20090101001395100000005000 0000030780002203   
0601BLA0d       20090101001400100000005000 0000030960002207   
0601BLA0d       20090101001405100000005000 0000031140002212   
0601BLA0d       20090101001410100000005000 0000031310002217   
0601BLA0d       20090101001415100000005000 0000031490002222   
0601BLA0d       20090101001420100000005000 0000031660002226   
0601BLA0d       20090101001425100000005000 0000031840002230   
0601BLA0d       20090101001430100000005000 0000032010002235   
0601BLA0d       20090101001435100000005000 0000032180002239   
0601BLA0d       20090101001440100000005000 0000032360002243   
