00AI               20071204                                                                                   
0601AIA0d       20080101000625100000005000 0000006930001104   
0601AIA0d       20080101000630100000005000 0000007010001108   
0601AIA0d       20080101000635100000005000 0000007090001112   
0601AIA0d       20080101000640100000005000 0000007180001118   
0601AIA0d       20080101000645100000005000 0000007260001121   
0601AIA0d       20080101000650100000005000 0000007330001123   
0601AIA0d       20080101000655100000005000 0000007420001129   
0601AIA0d       20080101000660100000005000 0000007500001132   
0601AIA0d       20080101000665100000005000 0000007590001137   
0601AIA0d       20080101000670100000005000 0000007670001141   
0601AIA0d       20080101000675100000005000 0000007770001147   
0601AIA0d       20080101000680100000005000 0000007860001152   
0601AIA0d       20080101000685100000005000 0000007960001158   
0601AIA0d       20080101000690100000005000 0000008040001161   
0601AIA0d       20080101000695100000005000 0000008140001167   
0601AIA0d       20080101000700100000005000 0000008230001172   
0601AIA0d       20080101000705100000005000 0000008330001177   
0601AIA0d       20080101000710100000005000 0000008410001180   
0601AIA0d       20080101000715100000005000 0000008510001186   
0601AIA0d       20080101000720100000005000 0000008610001192   
0601AIA0d       20080101000725100000005000 0000008710001197   
0601AIA0d       20080101000730100000005000 0000008790001200   
0601AIA0d       20080101000735100000005000 0000008890001205   
0601AIA0d       20080101000740100000005000 0000008990001211   
0601AIA0d       20080101000745100000005000 0000009080001215   
0601AIA0d       20080101000750100000005000 0000009170001219   
0601AIA0d       20080101000755100000005000 0000009270001224   
0601AIA0d       20080101000760100000005000 0000009370001229   
0601AIA0d       20080101000765100000005000 0000009470001234   
0601AIA0d       20080101000770100000005000 0000009570001239   
0601AIA0d       20080101000775100000005000 0000009650001241   
0601AIA0d       20080101000780100000005000 0000009750001246   
0601AIA0d       20080101000785100000005000 0000009860001252   
0601AIA0d       20080101000790100000005000 0000009960001257   
0601AIA0d       20080101000795100000005000 0000010060001261   
0601AIA0d       20080101000800100000005000 0000010160001266   
0601AIA0d       20080101000805100000005000 0000010270001272   
0601AIA0d       20080101000810100000005000 0000010370001276   
0601AIA0d       20080101000815100000005000 0000010470001281   
0601AIA0d       20080101000820100000005000 0000010570001285   
0601AIA0d       20080101000825100000005000 0000010680001291   
0601AIA0d       20080101000830100000005000 0000010760001292   
0601AIA0d       20080101000835100000005000 0000010870001298   
0601AIA0d       20080101000840100000005000 0000010970001302   
0601AIA0d       20080101000845100000005000 0000011070001306   
0601AIA0d       20080101000850100000005000 0000011170001310   
0601AIA0d       20080101000855100000005000 0000011280001315   
0601AIA0d       20080101000860100000005000 0000011380001319   
0601AIA0d       20080101000865100000005000 0000011480001323   
0601AIA0d       20080101000870100000005000 0000011590001328   
0601AIA0d       20080101000875100000005000 0000011690001332   
0601AIA0d       20080101000880100000005000 0000011790001336   
0601AIA0d       20080101000885100000005000 0000011880001339   
0601AIA0d       20080101000890100000005000 0000011980001342   
0601AIA0d       20080101000895100000005000 0000012090001347   
0601AIA0d       20080101000900100000005000 0000012190001351   
0601AIA0d       20080101000905100000005000 0000012290001354   
0601AIA0d       20080101000910100000005000 0000012390001358   
0601AIA0d       20080101000915100000005000 0000012500001362   
0601AIA0d       20080101000920100000005000 0000012600001366   
0601AIA0d       20080101000925100000005000 0000012700001369   
0601AIA0d       20080101000930100000005000 0000012810001374   
0601AIA0d       20080101000935100000005000 0000012920001378   
0601AIA0d       20080101000940100000005000 0000013020001381   
0601AIA0d       20080101000945100000005000 0000013130001386   
0601AIA0d       20080101000950100000005000 0000013240001390   
0601AIA0d       20080101000955100000005000 0000013350001394   
0601AIA0d       20080101000960100000005000 0000013460001398   
0601AIA0d       20080101000965100000005000 0000013590001405   
0601AIA0d       20080101000970100000005000 0000013700001409   
0601AIA0d       20080101000975100000005000 0000013810001413   
0601AIA0d       20080101000980100000005000 0000013920001417   
0601AIA0d       20080101000985100000005000 0000014040001422   
0601AIA0d       20080101000990100000005000 0000014150001426   
0601AIA0d       20080101000995100000005000 0000014280001432   
0601AIA0d       20080101001000100000005000 0000014390001435   
