00ZH               20071005                                                                                   
0601ZHA0d       20080101000660100000005000 0000005460000824   
0601ZHA0d       20080101000665100000005000 0000005540000830   
0601ZHA0d       20080101000670100000005000 0000005610000834   
0601ZHA0d       20080101000675100000005000 0000005680000838   
0601ZHA0d       20080101000680100000005000 0000005760000844   
0601ZHA0d       20080101000685100000005000 0000005830000848   
0601ZHA0d       20080101000690100000005000 0000005910000853   
0601ZHA0d       20080101000695100000005000 0000005980000857   
0601ZHA0d       20080101000700100000005000 0000006070000864   
0601ZHA0d       20080101000705100000005000 0000006130000866   
0601ZHA0d       20080101000710100000005000 0000006200000870   
0601ZHA0d       20080101000715100000005000 0000006290000877   
0601ZHA0d       20080101000720100000005000 0000006370000882   
0601ZHA0d       20080101000725100000005000 0000006460000888   
0601ZHA0d       20080101000730100000005000 0000006550000894   
0601ZHA0d       20080101000735100000005000 0000006630000899   
0601ZHA0d       20080101000740100000005000 0000006720000905   
0601ZHA0d       20080101000745100000005000 0000006800000910   
0601ZHA0d       20080101000750100000005000 0000006900000917   
0601ZHA0d       20080101000755100000005000 0000006990000923   
0601ZHA0d       20080101000760100000005000 0000007070000927   
0601ZHA0d       20080101000765100000005000 0000007160000933   
0601ZHA0d       20080101000770100000005000 0000007250000939   
0601ZHA0d       20080101000775100000005000 0000007340000944   
0601ZHA0d       20080101000780100000005000 0000007430000950   
0601ZHA0d       20080101000785100000005000 0000007530000956   
0601ZHA0d       20080101000790100000005000 0000007610000960   
0601ZHA0d       20080101000795100000005000 0000007710000967   
0601ZHA0d       20080101000800100000005000 0000007810000973   
0601ZHA0d       20080101000805100000005000 0000007900000978   
0601ZHA0d       20080101000810100000005000 0000008010000986   
0601ZHA0d       20080101000815100000005000 0000008100000991   
0601ZHA0d       20080101000820100000005000 0000008190000996   
0601ZHA0d       20080101000825100000005000 0000008300001003   
0601ZHA0d       20080101000830100000005000 0000008390001008   
0601ZHA0d       20080101000835100000005000 0000008500001015   
0601ZHA0d       20080101000840100000005000 0000008590001020   
0601ZHA0d       20080101000845100000005000 0000008700001027   
0601ZHA0d       20080101000850100000005000 0000008790001031   
0601ZHA0d       20080101000855100000005000 0000008880001036   
0601ZHA0d       20080101000860100000005000 0000008990001042   
0601ZHA0d       20080101000865100000005000 0000009080001047   
0601ZHA0d       20080101000870100000005000 0000009190001053   
0601ZHA0d       20080101000875100000005000 0000009280001058   
0601ZHA0d       20080101000880100000005000 0000009370001062   
0601ZHA0d       20080101000885100000005000 0000009480001068   
0601ZHA0d       20080101000890100000005000 0000009570001072   
0601ZHA0d       20080101000895100000005000 0000009680001079   
0601ZHA0d       20080101000900100000005000 0000009770001083   
0601ZHA0d       20080101000905100000005000 0000009860001087   
0601ZHA0d       20080101000910100000005000 0000009970001093   
0601ZHA0d       20080101000915100000005000 0000010060001096   
0601ZHA0d       20080101000920100000005000 0000010170001102   
0601ZHA0d       20080101000925100000005000 0000010260001106   
0601ZHA0d       20080101000930100000005000 0000010370001112   
0601ZHA0d       20080101000935100000005000 0000010460001116   
0601ZHA0d       20080101000940100000005000 0000010550001119   
0601ZHA0d       20080101000945100000005000 0000010660001125   
0601ZHA0d       20080101000950100000005000 0000010750001129   
0601ZHA0d       20080101000955100000005000 0000010850001133   
0601ZHA0d       20080101000960100000005000 0000010950001138   
0601ZHA0d       20080101000965100000005000 0000011040001141   
0601ZHA0d       20080101000970100000005000 0000011140001146   
0601ZHA0d       20080101000975100000005000 0000011240001150   
0601ZHA0d       20080101000980100000005000 0000011340001154   
0601ZHA0d       20080101000985100000005000 0000011430001157   
0601ZHA0d       20080101000990100000005000 0000011530001162   
0601ZHA0d       20080101000995100000005000 0000011640001167   
0601ZHA0d       20080101001000100000005000 0000011750001172   
0601ZHA0d       20080101001005100000005000 0000011850001176   
0601ZHA0d       20080101001010100000005000 0000011970001182   
0601ZHA0d       20080101001015100000005000 0000012080001187   
0601ZHA0d       20080101001020100000005000 0000012200001193   
0601ZHA0d       20080101001025100000005000 0000012320001199   
0601ZHA0d       20080101001030100000005000 0000012430001204   
0601ZHA0d       20080101001035100000005000 0000012550001210   
0601ZHA0d       20080101001040100000005000 0000012670001215   
0601ZHA0d       20080101001045100000005000 0000012780001220   
0601ZHA0d       20080101001050100000005000 0000012900001226   
0601ZHA0d       20080101001055100000005000 0000013010001230   
0601ZHA0d       20080101001060100000005000 0000013140001237   
0601ZHA0d       20080101001065100000005000 0000013250001241   
0601ZHA0d       20080101001070100000005000 0000013370001247   
0601ZHA0d       20080101001075100000005000 0000013510001254   
0601ZHA0d       20080101001080100000005000 0000013630001259   
0601ZHA0d       20080101001085100000005000 0000013750001264   
0601ZHA0d       20080101001090100000005000 0000013870001270   
0601ZHA0d       20080101001095100000005000 0000013980001274   
0601ZHA0d       20080101001100100000005000 0000014110001280   
0601ZHA0d       20080101001105100000005000 0000014240001286   
0601ZHA0d       20080101001110100000005000 0000014360001291   
0601ZHA0d       20080101001115100000005000 0000014490001297   
0601ZHA0d       20080101001120100000005000 0000014610001302   
0601ZHA0d       20080101001125100000005000 0000014750001308   
0601ZHA0d       20080101001130100000005000 0000014870001313   
0601ZHA0d       20080101001135100000005000 0000015000001319   
0601ZHA0d       20080101001140100000005000 0000015150001326   
0601ZHA0d       20080101001145100000005000 0000015270001331   
0601ZHA0d       20080101001150100000005000 0000015400001336   
0601ZHA0d       20080101001155100000005000 0000015530001342   
0601ZHA0d       20080101001160100000005000 0000015660001347   
0601ZHA0d       20080101001165100000005000 0000015780001352   
0601ZHA0d       20080101001170100000005000 0000015930001359   
0601ZHA0d       20080101001175100000005000 0000016060001364   
0601ZHA0d       20080101001180100000005000 0000016190001369   
0601ZHA0d       20080101001185100000005000 0000016310001373   
0601ZHA0d       20080101001190100000005000 0000016440001379   
0601ZHA0d       20080101001195100000005000 0000016570001384   
0601ZHA0d       20080101001200100000005000 0000016710001390   
0601ZHA0d       20080101001205100000005000 0000016840001395   
0601ZHA0d       20080101001210100000005000 0000016970001400   
0601ZHA0d       20080101001215100000005000 0000017100001405   
0601ZHA0d       20080101001220100000005000 0000017220001409   
0601ZHA0d       20080101001225100000005000 0000017360001414   
0601ZHA0d       20080101001230100000005000 0000017480001418   
0601ZHA0d       20080101001235100000005000 0000017630001425   
0601ZHA0d       20080101001240100000005000 0000017760001429   
0601ZHA0d       20080101001245100000005000 0000017880001433   
0601ZHA0d       20080101001250100000005000 0000018010001438   
0601ZHA0d       20080101001255100000005000 0000018140001443   
0601ZHA0d       20080101001260100000005000 0000018260001446   
0601ZHA0d       20080101001265100000005000 0000018410001452   
0601ZHA0d       20080101001270100000005000 0000018540001457   
0601ZHA0d       20080101001275100000005000 0000018670001461   
0601ZHA0d       20080101001280100000005000 0000018800001466   
0601ZHA0d       20080101001285100000005000 0000018930001470   
0601ZHA0d       20080101001290100000005000 0000019070001475   
0601ZHA0d       20080101001295100000005000 0000019220001481   
0601ZHA0d       20080101001300100000005000 0000019360001486   
0601ZHA0d       20080101001305100000005000 0000019500001491   
0601ZHA0d       20080101001310100000005000 0000019640001496   
0601ZHA0d       20080101001315100000005000 0000019770001501   
0601ZHA0d       20080101001320100000005000 0000019910001505   
0601ZHA0d       20080101001325100000005000 0000020050001510   
0601ZHA0d       20080101001330100000005000 0000020210001517   
0601ZHA0d       20080101001335100000005000 0000020340001521   
0601ZHA0d       20080101001340100000005000 0000020480001526   
0601ZHA0d       20080101001345100000005000 0000020620001530   
0601ZHA0d       20080101001350100000005000 0000020750001534   
0601ZHA0d       20080101001355100000005000 0000020890001539   
0601ZHA0d       20080101001360100000005000 0000021050001545   
0601ZHA0d       20080101001365100000005000 0000021180001549   
0601ZHA0d       20080101001370100000005000 0000021330001554   
0601ZHA0d       20080101001375100000005000 0000021460001558   
0601ZHA0d       20080101001380100000005000 0000021600001562   
0601ZHA0d       20080101001385100000005000 0000021740001567   
0601ZHA0d       20080101001390100000005000 0000021870001571   
0601ZHA0d       20080101001395100000005000 0000022030001576   
0601ZHA0d       20080101001400100000005000 0000022180001581   
0601ZHA0d       20080101001405100000005000 0000022320001586   
0601ZHA0d       20080101001410100000005000 0000022460001590   
0601ZHA0d       20080101001415100000005000 0000022610001595   
0601ZHA0d       20080101001420100000005000 0000022760001600   
0601ZHA0d       20080101001425100000005000 0000022930001606   
