00UR               20081210                                                                                   
0601URA0d       20090101000635100000005000 0000006380001001   
0601URA0d       20090101000640100000005000 0000006460001005   
0601URA0d       20090101000645100000005000 0000006540001010   
0601URA0d       20090101000650100000005000 0000006610001013   
0601URA0d       20090101000655100000005000 0000006690001017   
0601URA0d       20090101000660100000005000 0000006760001020   
0601URA0d       20090101000665100000005000 0000006830001023   
0601URA0d       20090101000670100000005000 0000006910001028   
0601URA0d       20090101000675100000005000 0000006980001030   
0601URA0d       20090101000680100000005000 0000007060001034   
0601URA0d       20090101000685100000005000 0000007130001037   
0601URA0d       20090101000690100000005000 0000007200001040   
0601URA0d       20090101000695100000005000 0000007280001044   
0601URA0d       20090101000700100000005000 0000007350001046   
0601URA0d       20090101000705100000005000 0000007430001050   
0601URA0d       20090101000710100000005000 0000007500001053   
0601URA0d       20090101000715100000005000 0000007590001058   
0601URA0d       20090101000720100000005000 0000007670001062   
0601URA0d       20090101000725100000005000 0000007760001067   
0601URA0d       20090101000730100000005000 0000007840001070   
0601URA0d       20090101000735100000005000 0000007930001075   
0601URA0d       20090101000740100000005000 0000008020001080   
0601URA0d       20090101000745100000005000 0000008100001084   
0601URA0d       20090101000750100000005000 0000008190001088   
0601URA0d       20090101000755100000005000 0000008280001093   
0601URA0d       20090101000760100000005000 0000008370001098   
0601URA0d       20090101000765100000005000 0000008450001101   
0601URA0d       20090101000770100000005000 0000008540001106   
0601URA0d       20090101000775100000005000 0000008630001110   
0601URA0d       20090101000780100000005000 0000008720001114   
0601URA0d       20090101000785100000005000 0000008810001119   
0601URA0d       20090101000790100000005000 0000008910001124   
0601URA0d       20090101000795100000005000 0000009000001129   
0601URA0d       20090101000800100000005000 0000009090001133   
0601URA0d       20090101000805100000005000 0000009180001137   
0601URA0d       20090101000810100000005000 0000009260001140   
0601URA0d       20090101000815100000005000 0000009350001144   
0601URA0d       20090101000820100000005000 0000009440001148   
0601URA0d       20090101000825100000005000 0000009530001152   
0601URA0d       20090101000830100000005000 0000009620001156   
0601URA0d       20090101000835100000005000 0000009710001159   
0601URA0d       20090101000840100000005000 0000009800001163   
0601URA0d       20090101000845100000005000 0000009890001167   
0601URA0d       20090101000850100000005000 0000009980001171   
0601URA0d       20090101000855100000005000 0000010070001174   
0601URA0d       20090101000860100000005000 0000010160001178   
0601URA0d       20090101000865100000005000 0000010260001183   
0601URA0d       20090101000870100000005000 0000010350001186   
0601URA0d       20090101000875100000005000 0000010440001190   
0601URA0d       20090101000880100000005000 0000010530001193   
0601URA0d       20090101000885100000005000 0000010620001197   
0601URA0d       20090101000890100000005000 0000010710001200   
0601URA0d       20090101000895100000005000 0000010800001203   
0601URA0d       20090101000900100000005000 0000010880001206   
0601URA0d       20090101000905100000005000 0000010970001209   
0601URA0d       20090101000910100000005000 0000011060001212   
0601URA0d       20090101000915100000005000 0000011150001215   
0601URA0d       20090101000920100000005000 0000011240001218   
0601URA0d       20090101000925100000005000 0000011330001222   
0601URA0d       20090101000930100000005000 0000011420001225   
0601URA0d       20090101000935100000005000 0000011510001228   
0601URA0d       20090101000940100000005000 0000011600001231   
0601URA0d       20090101000945100000005000 0000011700001235   
0601URA0d       20090101000950100000005000 0000011790001238   
0601URA0d       20090101000955100000005000 0000011880001241   
0601URA0d       20090101000960100000005000 0000011970001244   
0601URA0d       20090101000965100000005000 0000012050001245   
0601URA0d       20090101000970100000005000 0000012140001248   
0601URA0d       20090101000975100000005000 0000012230001251   
0601URA0d       20090101000980100000005000 0000012320001254   
0601URA0d       20090101000985100000005000 0000012410001257   
0601URA0d       20090101000990100000005000 0000012500001259   
0601URA0d       20090101000995100000005000 0000012590001262   
0601URA0d       20090101001000100000005000 0000012680001265   
0601URA0d       20090101001005100000005000 0000012770001267   
0601URA0d       20090101001010100000005000 0000012870001271   
0601URA0d       20090101001015100000005000 0000012970001275   
0601URA0d       20090101001020100000005000 0000013080001279   
0601URA0d       20090101001025100000005000 0000013180001283   
0601URA0d       20090101001030100000005000 0000013270001285   
0601URA0d       20090101001035100000005000 0000013370001289   
0601URA0d       20090101001040100000005000 0000013470001292   
0601URA0d       20090101001045100000005000 0000013570001295   
0601URA0d       20090101001050100000005000 0000013670001299   
0601URA0d       20090101001055100000005000 0000013760001301   
0601URA0d       20090101001060100000005000 0000013870001305   
0601URA0d       20090101001065100000005000 0000013980001310   
0601URA0d       20090101001070100000005000 0000014080001313   
0601URA0d       20090101001075100000005000 0000014180001316   
0601URA0d       20090101001080100000005000 0000014280001319   
0601URA0d       20090101001085100000005000 0000014390001323   
0601URA0d       20090101001090100000005000 0000014500001327   
0601URA0d       20090101001095100000005000 0000014600001330   
0601URA0d       20090101001100100000005000 0000014700001333   
0601URA0d       20090101001105100000005000 0000014800001336   
0601URA0d       20090101001110100000005000 0000014900001339   
0601URA0d       20090101001115100000005000 0000015020001344   
0601URA0d       20090101001120100000005000 0000015110001346   
0601URA0d       20090101001125100000005000 0000015220001350   
0601URA0d       20090101001130100000005000 0000015320001353   
0601URA0d       20090101001135100000005000 0000015430001356   
0601URA0d       20090101001140100000005000 0000015530001359   
0601URA0d       20090101001145100000005000 0000015630001362   
0601URA0d       20090101001150100000005000 0000015730001365   
0601URA0d       20090101001155100000005000 0000015840001368   
0601URA0d       20090101001160100000005000 0000015950001372   
0601URA0d       20090101001165100000005000 0000016040001374   
0601URA0d       20090101001170100000005000 0000016150001377   
0601URA0d       20090101001175100000005000 0000016250001380   
0601URA0d       20090101001180100000005000 0000016350001383   
0601URA0d       20090101001185100000005000 0000016460001386   
0601URA0d       20090101001190100000005000 0000016560001389   
0601URA0d       20090101001195100000005000 0000016670001392   
0601URA0d       20090101001200100000005000 0000016770001395   
0601URA0d       20090101001205100000005000 0000016860001396   
0601URA0d       20090101001210100000005000 0000016980001400   
0601URA0d       20090101001215100000005000 0000017080001403   
0601URA0d       20090101001220100000005000 0000017180001405   
0601URA0d       20090101001225100000005000 0000017280001408   
0601URA0d       20090101001230100000005000 0000017380001410   
0601URA0d       20090101001235100000005000 0000017500001414   
0601URA0d       20090101001240100000005000 0000017600001416   
0601URA0d       20090101001245100000005000 0000017700001419   
0601URA0d       20090101001250100000005000 0000017800001421   
0601URA0d       20090101001255100000005000 0000017900001423   
0601URA0d       20090101001260100000005000 0000018010001427   
0601URA0d       20090101001265100000005000 0000018120001430   
0601URA0d       20090101001270100000005000 0000018210001431   
0601URA0d       20090101001275100000005000 0000018330001435   
0601URA0d       20090101001280100000005000 0000018430001437   
0601URA0d       20090101001285100000005000 0000018530001439   
0601URA0d       20090101001290100000005000 0000018660001444   
0601URA0d       20090101001295100000005000 0000018770001447   
0601URA0d       20090101001300100000005000 0000018870001449   
0601URA0d       20090101001305100000005000 0000019000001453   
0601URA0d       20090101001310100000005000 0000019110001456   
0601URA0d       20090101001315100000005000 0000019220001459   
0601URA0d       20090101001320100000005000 0000019350001463   
0601URA0d       20090101001325100000005000 0000019450001465   
0601URA0d       20090101001330100000005000 0000019580001469   
0601URA0d       20090101001335100000005000 0000019690001472   
0601URA0d       20090101001340100000005000 0000019800001475   
0601URA0d       20090101001345100000005000 0000019930001479   
0601URA0d       20090101001350100000005000 0000020030001481   
0601URA0d       20090101001355100000005000 0000020140001484   
0601URA0d       20090101001360100000005000 0000020270001488   
0601URA0d       20090101001365100000005000 0000020380001490   
0601URA0d       20090101001370100000005000 0000020510001494   
0601URA0d       20090101001375100000005000 0000020610001496   
0601URA0d       20090101001380100000005000 0000020720001499   
0601URA0d       20090101001385100000005000 0000020850001503   
0601URA0d       20090101001390100000005000 0000020960001505   
0601URA0d       20090101001395100000005000 0000021060001507   
0601URA0d       20090101001400100000005000 0000021190001511   
0601URA0d       20090101001405100000005000 0000021300001513   
0601URA0d       20090101001410100000005000 0000021410001516   
0601URA0d       20090101001415100000005000 0000021540001520   
0601URA0d       20090101001420100000005000 0000021640001521   
0601URA0d       20090101001425100000005000 0000021770001525   
0601URA0d       20090101001430100000005000 0000021880001527   
0601URA0d       20090101001435100000005000 0000021990001530   
0601URA0d       20090101001440100000005000 0000022120001533   
0601URA0d       20090101001445100000005000 0000022220001535   
0601URA0d       20090101001450100000005000 0000022330001537   
0601URA0d       20090101001455100000005000 0000022460001541   
0601URA0d       20090101001460100000005000 0000022570001543   
0601URA0d       20090101001465100000005000 0000022670001545   
0601URA0d       20090101001470100000005000 0000022800001548   
0601URA0d       20090101001475100000005000 0000022910001551   
0601URA0d       20090101001480100000005000 0000023040001554   
0601URA0d       20090101001485100000005000 0000023150001556   
0601URA0d       20090101001490100000005000 0000023250001558   
0601URA0d       20090101001495100000005000 0000023380001561   
0601URA0d       20090101001500100000005000 0000023490001563   
0601URA0d       20090101001505100000005000 0000023600001566   
0601URA0d       20090101001510100000005000 0000023730001569   
0601URA0d       20090101001515100000005000 0000023830001570   
0601URA0d       20090101001520100000005000 0000023960001574   
0601URA0d       20090101001525100000005000 0000024070001576   
0601URA0d       20090101001530100000005000 0000024180001578   
0601URA0d       20090101001535100000005000 0000024310001581   
0601URA0d       20090101001540100000005000 0000024410001582   
0601URA0d       20090101001545100000005000 0000024520001584   
0601URA0d       20090101001550100000005000 0000024650001588   
0601URA0d       20090101001555100000005000 0000024760001590   
0601URA0d       20090101001560100000005000 0000024860001591   
0601URA0d       20090101001565100000005000 0000024990001594   
0601URA0d       20090101001570100000005000 0000025100001596   
0601URA0d       20090101001575100000005000 0000025230001599   
0601URA0d       20090101001580100000005000 0000025340001601   
0601URA0d       20090101001585100000005000 0000025440001603   
0601URA0d       20090101001590100000005000 0000025570001606   
