00SZ               20081218                                                                                   
0601SZA0d       20090101000655100000005000 0000004440000675   
0601SZA0d       20090101000660100000005000 0000004500000679   
0601SZA0d       20090101000665100000005000 0000004560000683   
0601SZA0d       20090101000670100000005000 0000004620000687   
0601SZA0d       20090101000675100000005000 0000004680000691   
0601SZA0d       20090101000680100000005000 0000004740000695   
0601SZA0d       20090101000685100000005000 0000004800000698   
0601SZA0d       20090101000690100000005000 0000004860000702   
0601SZA0d       20090101000695100000005000 0000004910000704   
0601SZA0d       20090101000700100000005000 0000004970000707   
0601SZA0d       20090101000705100000005000 0000005030000711   
0601SZA0d       20090101000710100000005000 0000005090000714   
0601SZA0d       20090101000715100000005000 0000005150000718   
0601SZA0d       20090101000720100000005000 0000005220000722   
0601SZA0d       20090101000725100000005000 0000005280000726   
0601SZA0d       20090101000730100000005000 0000005360000732   
0601SZA0d       20090101000735100000005000 0000005430000736   
0601SZA0d       20090101000740100000005000 0000005490000739   
0601SZA0d       20090101000745100000005000 0000005570000745   
0601SZA0d       20090101000750100000005000 0000005640000750   
0601SZA0d       20090101000755100000005000 0000005720000755   
0601SZA0d       20090101000760100000005000 0000005790000759   
0601SZA0d       20090101000765100000005000 0000005870000765   
0601SZA0d       20090101000770100000005000 0000005930000768   
0601SZA0d       20090101000775100000005000 0000006010000773   
0601SZA0d       20090101000780100000005000 0000006080000777   
0601SZA0d       20090101000785100000005000 0000006150000781   
0601SZA0d       20090101000790100000005000 0000006230000786   
0601SZA0d       20090101000795100000005000 0000006300000790   
0601SZA0d       20090101000800100000005000 0000006370000794   
0601SZA0d       20090101000805100000005000 0000006440000798   
0601SZA0d       20090101000810100000005000 0000006520000802   
0601SZA0d       20090101000815100000005000 0000006590000806   
0601SZA0d       20090101000820100000005000 0000006660000810   
0601SZA0d       20090101000825100000005000 0000006740000815   
0601SZA0d       20090101000830100000005000 0000006820000819   
0601SZA0d       20090101000835100000005000 0000006890000823   
0601SZA0d       20090101000840100000005000 0000006970000827   
0601SZA0d       20090101000845100000005000 0000007030000829   
0601SZA0d       20090101000850100000005000 0000007110000834   
0601SZA0d       20090101000855100000005000 0000007190000838   
0601SZA0d       20090101000860100000005000 0000007260000842   
0601SZA0d       20090101000865100000005000 0000007340000846   
0601SZA0d       20090101000870100000005000 0000007420000850   
0601SZA0d       20090101000875100000005000 0000007490000854   
0601SZA0d       20090101000880100000005000 0000007560000857   
0601SZA0d       20090101000885100000005000 0000007650000862   
0601SZA0d       20090101000890100000005000 0000007720000865   
0601SZA0d       20090101000895100000005000 0000007790000868   
0601SZA0d       20090101000900100000005000 0000007870000872   
0601SZA0d       20090101000905100000005000 0000007940000875   
0601SZA0d       20090101000910100000005000 0000008020000879   
0601SZA0d       20090101000915100000005000 0000008100000883   
0601SZA0d       20090101000920100000005000 0000008160000885   
0601SZA0d       20090101000925100000005000 0000008240000888   
0601SZA0d       20090101000930100000005000 0000008330000893   
0601SZA0d       20090101000935100000005000 0000008390000895   
0601SZA0d       20090101000940100000005000 0000008470000899   
0601SZA0d       20090101000945100000005000 0000008540000901   
0601SZA0d       20090101000950100000005000 0000008620000905   
0601SZA0d       20090101000955100000005000 0000008700000909   
0601SZA0d       20090101000960100000005000 0000008770000911   
0601SZA0d       20090101000965100000005000 0000008840000914   
0601SZA0d       20090101000970100000005000 0000008910000916   
0601SZA0d       20090101000975100000005000 0000009000000921   
