00LU               20081107                                                                                   
0601LUA0d       20090101000725100000005000 0000008620001185   
0601LUA0d       20090101000730100000005000 0000008720001190   
0601LUA0d       20090101000735100000005000 0000008820001196   
0601LUA0d       20090101000740100000005000 0000008920001201   
0601LUA0d       20090101000745100000005000 0000009030001208   
0601LUA0d       20090101000750100000005000 0000009130001213   
0601LUA0d       20090101000755100000005000 0000009250001221   
0601LUA0d       20090101000760100000005000 0000009360001228   
0601LUA0d       20090101000765100000005000 0000009460001233   
0601LUA0d       20090101000770100000005000 0000009560001238   
0601LUA0d       20090101000775100000005000 0000009670001244   
0601LUA0d       20090101000780100000005000 0000009770001249   
0601LUA0d       20090101000785100000005000 0000009880001255   
0601LUA0d       20090101000790100000005000 0000009980001259   
0601LUA0d       20090101000795100000005000 0000010090001265   
0601LUA0d       20090101000800100000005000 0000010190001270   
0601LUA0d       20090101000805100000005000 0000010300001276   
0601LUA0d       20090101000810100000005000 0000010400001280   
0601LUA0d       20090101000815100000005000 0000010510001286   
0601LUA0d       20090101000820100000005000 0000010610001290   
0601LUA0d       20090101000825100000005000 0000010720001295   
0601LUA0d       20090101000830100000005000 0000010830001301   
0601LUA0d       20090101000835100000005000 0000010930001305   
0601LUA0d       20090101000840100000005000 0000011040001310   
0601LUA0d       20090101000845100000005000 0000011140001314   
0601LUA0d       20090101000850100000005000 0000011250001320   
0601LUA0d       20090101000855100000005000 0000011350001324   
0601LUA0d       20090101000860100000005000 0000011460001329   
0601LUA0d       20090101000865100000005000 0000011560001333   
0601LUA0d       20090101000870100000005000 0000011690001340   
0601LUA0d       20090101000875100000005000 0000011790001344   
0601LUA0d       20090101000880100000005000 0000011900001348   
0601LUA0d       20090101000885100000005000 0000012000001352   
0601LUA0d       20090101000890100000005000 0000012110001357   
0601LUA0d       20090101000895100000005000 0000012210001360   
0601LUA0d       20090101000900100000005000 0000012320001365   
0601LUA0d       20090101000905100000005000 0000012430001370   
0601LUA0d       20090101000910100000005000 0000012530001373   
0601LUA0d       20090101000915100000005000 0000012640001378   
0601LUA0d       20090101000920100000005000 0000012740001381   
0601LUA0d       20090101000925100000005000 0000012850001385   
0601LUA0d       20090101000930100000005000 0000012950001389   
0601LUA0d       20090101000935100000005000 0000013060001393   
0601LUA0d       20090101000940100000005000 0000013160001396   
0601LUA0d       20090101000945100000005000 0000013270001401   
0601LUA0d       20090101000950100000005000 0000013370001404   
0601LUA0d       20090101000955100000005000 0000013480001408   
0601LUA0d       20090101000960100000005000 0000013590001412   
0601LUA0d       20090101000965100000005000 0000013700001416   
0601LUA0d       20090101000970100000005000 0000013810001420   
0601LUA0d       20090101000975100000005000 0000013920001424   
0601LUA0d       20090101000980100000005000 0000014040001429   
0601LUA0d       20090101000985100000005000 0000014150001433   
0601LUA0d       20090101000990100000005000 0000014280001439   
0601LUA0d       20090101000995100000005000 0000014390001443   
0601LUA0d       20090101001000100000005000 0000014510001447   
0601LUA0d       20090101001005100000005000 0000014620001451   
0601LUA0d       20090101001010100000005000 0000014740001456   
0601LUA0d       20090101001015100000005000 0000014860001460   
0601LUA0d       20090101001020100000005000 0000014980001465   
0601LUA0d       20090101001025100000005000 0000015100001470   
0601LUA0d       20090101001030100000005000 0000015230001475   
0601LUA0d       20090101001035100000005000 0000015350001480   
0601LUA0d       20090101001040100000005000 0000015470001484   
0601LUA0d       20090101001045100000005000 0000015590001488   
0601LUA0d       20090101001050100000005000 0000015710001493   
0601LUA0d       20090101001055100000005000 0000015830001497   
0601LUA0d       20090101001060100000005000 0000015980001504   
0601LUA0d       20090101001065100000005000 0000016100001508   
0601LUA0d       20090101001070100000005000 0000016220001512   
0601LUA0d       20090101001075100000005000 0000016370001519   
0601LUA0d       20090101001080100000005000 0000016490001523   
0601LUA0d       20090101001085100000005000 0000016630001529   
0601LUA0d       20090101001090100000005000 0000016760001534   
0601LUA0d       20090101001095100000005000 0000016880001538   
0601LUA0d       20090101001100100000005000 0000017020001544   
0601LUA0d       20090101001105100000005000 0000017140001548   
0601LUA0d       20090101001110100000005000 0000017270001552   
0601LUA0d       20090101001115100000005000 0000017410001558   
0601LUA0d       20090101001120100000005000 0000017530001562   
0601LUA0d       20090101001125100000005000 0000017680001568   
0601LUA0d       20090101001130100000005000 0000017800001572   
0601LUA0d       20090101001135100000005000 0000017920001575   
0601LUA0d       20090101001140100000005000 0000018070001582   
0601LUA0d       20090101001145100000005000 0000018190001585   
0601LUA0d       20090101001150100000005000 0000018310001589   
0601LUA0d       20090101001155100000005000 0000018460001595   
0601LUA0d       20090101001160100000005000 0000018580001598   
0601LUA0d       20090101001165100000005000 0000018700001602   
0601LUA0d       20090101001170100000005000 0000018850001608   
0601LUA0d       20090101001175100000005000 0000018970001611   
0601LUA0d       20090101001180100000005000 0000019110001616   
0601LUA0d       20090101001185100000005000 0000019230001619   
0601LUA0d       20090101001190100000005000 0000019360001623   
0601LUA0d       20090101001195100000005000 0000019500001628   
0601LUA0d       20090101001200100000005000 0000019620001632   
0601LUA0d       20090101001205100000005000 0000019750001636   
0601LUA0d       20090101001210100000005000 0000019890001640   
0601LUA0d       20090101001215100000005000 0000020010001644   
0601LUA0d       20090101001220100000005000 0000020130001647   
0601LUA0d       20090101001225100000005000 0000020280001652   
0601LUA0d       20090101001230100000005000 0000020400001655   
0601LUA0d       20090101001235100000005000 0000020550001661   
0601LUA0d       20090101001240100000005000 0000020670001664   
0601LUA0d       20090101001245100000005000 0000020790001667   
0601LUA0d       20090101001250100000005000 0000020940001672   
0601LUA0d       20090101001255100000005000 0000021060001675   
0601LUA0d       20090101001260100000005000 0000021180001678   
0601LUA0d       20090101001265100000005000 0000021320001682   
0601LUA0d       20090101001270100000005000 0000021450001686   
0601LUA0d       20090101001275100000005000 0000021590001690   
0601LUA0d       20090101001280100000005000 0000021710001693   
0601LUA0d       20090101001285100000005000 0000021840001696   
0601LUA0d       20090101001290100000005000 0000022000001702   
0601LUA0d       20090101001295100000005000 0000022130001706   
0601LUA0d       20090101001300100000005000 0000022260001709   
0601LUA0d       20090101001305100000005000 0000022410001714   
0601LUA0d       20090101001310100000005000 0000022540001717   
0601LUA0d       20090101001315100000005000 0000022670001721   
0601LUA0d       20090101001320100000005000 0000022830001726   
0601LUA0d       20090101001325100000005000 0000022960001730   
0601LUA0d       20090101001330100000005000 0000023120001735   
0601LUA0d       20090101001335100000005000 0000023250001738   
0601LUA0d       20090101001340100000005000 0000023380001742   
0601LUA0d       20090101001345100000005000 0000023540001747   
0601LUA0d       20090101001350100000005000 0000023670001750   
0601LUA0d       20090101001355100000005000 0000023800001753   
0601LUA0d       20090101001360100000005000 0000023960001759   
0601LUA0d       20090101001365100000005000 0000024090001762   
0601LUA0d       20090101001370100000005000 0000024240001766   
0601LUA0d       20090101001375100000005000 0000024370001769   
0601LUA0d       20090101001380100000005000 0000024500001772   
0601LUA0d       20090101001385100000005000 0000024660001777   
0601LUA0d       20090101001390100000005000 0000024790001780   
0601LUA0d       20090101001395100000005000 0000024920001783   
0601LUA0d       20090101001400100000005000 0000025080001788   
0601LUA0d       20090101001405100000005000 0000025210001791   
0601LUA0d       20090101001410100000005000 0000025340001794   
0601LUA0d       20090101001415100000005000 0000025500001799   
0601LUA0d       20090101001420100000005000 0000025630001802   
0601LUA0d       20090101001425100000005000 0000025780001806   
0601LUA0d       20090101001430100000005000 0000025920001809   
0601LUA0d       20090101001435100000005000 0000026050001812   
0601LUA0d       20090101001440100000005000 0000026200001816   
0601LUA0d       20090101001445100000005000 0000026330001819   
0601LUA0d       20090101001450100000005000 0000026460001822   
0601LUA0d       20090101001455100000005000 0000026620001826   
0601LUA0d       20090101001460100000005000 0000026750001829   
0601LUA0d       20090101001465100000005000 0000026880001832   
0601LUA0d       20090101001470100000005000 0000027040001836   
0601LUA0d       20090101001475100000005000 0000027170001839   
0601LUA0d       20090101001480100000005000 0000027330001844   
0601LUA0d       20090101001485100000005000 0000027460001846   
0601LUA0d       20090101001490100000005000 0000027590001849   
0601LUA0d       20090101001495100000005000 0000027740001852   
0601LUA0d       20090101001500100000005000 0000027880001856   
0601LUA0d       20090101001505100000005000 0000028010001858   
0601LUA0d       20090101001510100000005000 0000028160001862   
0601LUA0d       20090101001515100000005000 0000028290001864   
0601LUA0d       20090101001520100000005000 0000028450001869   
0601LUA0d       20090101001525100000005000 0000028580001871   
0601LUA0d       20090101001530100000005000 0000028710001873   
0601LUA0d       20090101001535100000005000 0000028870001878   
0601LUA0d       20090101001540100000005000 0000029000001880   
0601LUA0d       20090101001545100000005000 0000029130001882   
0601LUA0d       20090101001550100000005000 0000029290001887   
0601LUA0d       20090101001555100000005000 0000029420001889   
0601LUA0d       20090101001560100000005000 0000029550001891   
0601LUA0d       20090101001565100000005000 0000029700001895   
0601LUA0d       20090101001570100000005000 0000029840001898   
0601LUA0d       20090101001575100000005000 0000029990001901   
0601LUA0d       20090101001580100000005000 0000030120001903   
0601LUA0d       20090101001585100000005000 0000030250001906   
0601LUA0d       20090101001590100000005000 0000030410001910   
0601LUA0d       20090101001595100000005000 0000030540001912   
0601LUA0d       20090101001600100000005000 0000030670001914   
0601LUA0d       20090101001605100000005000 0000030830001918   
0601LUA0d       20090101001610100000005000 0000030970001921   
0601LUA0d       20090101001615100000005000 0000031100001923   
0601LUA0d       20090101001620100000005000 0000031270001927   
0601LUA0d       20090101001625100000005000 0000031410001930   
0601LUA0d       20090101001630100000005000 0000031570001934   
0601LUA0d       20090101001635100000005000 0000031710001936   
0601LUA0d       20090101001640100000005000 0000031850001939   
0601LUA0d       20090101001645100000005000 0000032010001943   
0601LUA0d       20090101001650100000005000 0000032160001946   
0601LUA0d       20090101001655100000005000 0000032300001949   
0601LUA0d       20090101001660100000005000 0000032480001954   
0601LUA0d       20090101001665100000005000 0000032630001957   
0601LUA0d       20090101001670100000005000 0000032800001961   
0601LUA0d       20090101001675100000005000 0000032950001964   
0601LUA0d       20090101001680100000005000 0000033100001967   
0601LUA0d       20090101001685100000005000 0000033270001972   
0601LUA0d       20090101001690100000005000 0000033420001975   
0601LUA0d       20090101001695100000005000 0000033570001978   
0601LUA0d       20090101001700100000005000 0000033740001982   
0601LUA0d       20090101001705100000005000 0000033890001985   
0601LUA0d       20090101001710100000005000 0000034040001988   
0601LUA0d       20090101001715100000005000 0000034210001992   
0601LUA0d       20090101001720100000005000 0000034360001995   
0601LUA0d       20090101001725100000005000 0000034540001999   
0601LUA0d       20090101001730100000005000 0000034680002002   
0601LUA0d       20090101001735100000005000 0000034830002005   
0601LUA0d       20090101001740100000005000 0000035010002009   
0601LUA0d       20090101001745100000005000 0000035150002011   
0601LUA0d       20090101001750100000005000 0000035300002014   
0601LUA0d       20090101001755100000005000 0000035480002019   
0601LUA0d       20090101001760100000005000 0000035620002021   
0601LUA0d       20090101001765100000005000 0000035770002024   
0601LUA0d       20090101001770100000005000 0000035950002028   
0601LUA0d       20090101001775100000005000 0000036090002030   
0601LUA0d       20090101001780100000005000 0000036270002035   
0601LUA0d       20090101001785100000005000 0000036420002037   
0601LUA0d       20090101001790100000005000 0000036560002040   
0601LUA0d       20090101001795100000005000 0000036740002044   
0601LUA0d       20090101001800100000005000 0000036890002047   
0601LUA0d       20090101001805100000005000 0000037030002049   
0601LUA0d       20090101001810100000005000 0000037210002053   
0601LUA0d       20090101001815100000005000 0000037360002056   
0601LUA0d       20090101001820100000005000 0000037530002059   
0601LUA0d       20090101001825100000005000 0000037680002062   
0601LUA0d       20090101001830100000005000 0000037830002064   
0601LUA0d       20090101001835100000005000 0000038000002068   
0601LUA0d       20090101001840100000005000 0000038150002071   
0601LUA0d       20090101001845100000005000 0000038300002073   
0601LUA0d       20090101001850100000005000 0000038470002077   
0601LUA0d       20090101001855100000005000 0000038620002079   
0601LUA0d       20090101001860100000005000 0000038770002082   
0601LUA0d       20090101001865100000005000 0000038940002085   
0601LUA0d       20090101001870100000005000 0000039090002088   
0601LUA0d       20090101001875100000005000 0000039270002092   
0601LUA0d       20090101001880100000005000 0000039410002093   
0601LUA0d       20090101001885100000005000 0000039560002096   
0601LUA0d       20090101001890100000005000 0000039740002100   
0601LUA0d       20090101001895100000005000 0000039880002102   
0601LUA0d       20090101001900100000005000 0000040030002104   
0601LUA0d       20090101001905100000005000 0000040210002108   
0601LUA0d       20090101001910100000005000 0000040350002110   
0601LUA0d       20090101001915100000005000 0000040530002114   
0601LUA0d       20090101001920100000005000 0000040680002116   
0601LUA0d       20090101001925100000005000 0000040820002118   
0601LUA0d       20090101001930100000005000 0000041000002122   
0601LUA0d       20090101001935100000005000 0000041150002124   
0601LUA0d       20090101001940100000005000 0000041290002126   
0601LUA0d       20090101001945100000005000 0000041470002129   
0601LUA0d       20090101001950100000005000 0000041620002132   
0601LUA0d       20090101001955100000005000 0000041760002133   
0601LUA0d       20090101001960100000005000 0000041940002137   
0601LUA0d       20090101001965100000005000 0000042090002139   
0601LUA0d       20090101001970100000005000 0000042260002142   
0601LUA0d       20090101001975100000005000 0000042410002145   
0601LUA0d       20090101001980100000005000 0000042560002147   
0601LUA0d       20090101001985100000005000 0000042730002150   
0601LUA0d       20090101001990100000005000 0000042880002152   
0601LUA0d       20090101001995100000005000 0000043030002154   
0601LUA0d       20090101002000100000005000 0000043200002157   
0601LUA0d       20090101002005100000005000 0000043350002159   
0601LUA0d       20090101002010100000005000 0000043500002161   
0601LUA0d       20090101002015100000005000 0000043670002165   
0601LUA0d       20090101002020100000005000 0000043820002167   
0601LUA0d       20090101002025100000005000 0000044000002170   
0601LUA0d       20090101002030100000005000 0000044140002172   
0601LUA0d       20090101002035100000005000 0000044290002174   
0601LUA0d       20090101002040100000005000 0000044470002177   
