00GL               20090106                                                                                   
0601GLA0d       20090101000645100000005000 0000007916001223   
0601GLA0d       20090101000650100000005000 0000008018001229   
0601GLA0d       20090101000655100000005000 0000008120501235   
0601GLA0d       20090101000660100000005000 0000008222501241   
0601GLA0d       20090101000665100000005000 0000008324501246   
0601GLA0d       20090101000670100000005000 0000008426501254   
0601GLA0d       20090101000675100000005000 0000008528501259   
0601GLA0d       20090101000680100000005000 0000008630501264   
0601GLA0d       20090101000685100000005000 0000008733001270   
0601GLA0d       20090101000690100000005000 0000008835001277   
0601GLA0d       20090101000695100000005000 0000008937001282   
0601GLA0d       20090101000700100000005000 0000009039001287   
0601GLA0d       20090101000705100000005000 0000009141001292   
0601GLA0d       20090101000710100000005000 0000009243001297   
0601GLA0d       20090101000715100000005000 0000009345501303   
0601GLA0d       20090101000720100000005000 0000009460001309   
0601GLA0d       20090101000725100000005000 0000009574001315   
0601GLA0d       20090101000730100000005000 0000009688501323   
0601GLA0d       20090101000735100000005000 0000009803001329   
0601GLA0d       20090101000740100000005000 0000009917501336   
0601GLA0d       20090101000745100000005000 0000010032001342   
0601GLA0d       20090101000750100000005000 0000010146501349   
0601GLA0d       20090101000755100000005000 0000010284001357   
0601GLA0d       20090101000760100000005000 0000010398501364   
0601GLA0d       20090101000765100000005000 0000010513001369   
0601GLA0d       20090101000770100000005000 0000010629001376   
0601GLA0d       20090101000775100000005000 0000010746001383   
0601GLA0d       20090101000780100000005000 0000010863501388   
0601GLA0d       20090101000785100000005000 0000010980501394   
0601GLA0d       20090101000790100000005000 0000011098001401   
0601GLA0d       20090101000795100000005000 0000011215001407   
0601GLA0d       20090101000800100000005000 0000011332001412   
0601GLA0d       20090101000805100000005000 0000011449501418   
0601GLA0d       20090101000810100000005000 0000011566501424   
0601GLA0d       20090101000815100000005000 0000011684001429   
0601GLA0d       20090101000820100000005000 0000011801001435   
0601GLA0d       20090101000825100000005000 0000011918001440   
0601GLA0d       20090101000830100000005000 0000012035501446   
0601GLA0d       20090101000835100000005000 0000012152501451   
0601GLA0d       20090101000840100000005000 0000012270001456   
0601GLA0d       20090101000845100000005000 0000012387001462   
0601GLA0d       20090101000850100000005000 0000012504501466   
0601GLA0d       20090101000855100000005000 0000012621501472   
0601GLA0d       20090101000860100000005000 0000012738501477   
0601GLA0d       20090101000865100000005000 0000012856001482   
0601GLA0d       20090101000870100000005000 0000012996501490   
0601GLA0d       20090101000875100000005000 0000013113501494   
0601GLA0d       20090101000880100000005000 0000013231001499   
0601GLA0d       20090101000885100000005000 0000013348001504   
0601GLA0d       20090101000890100000005000 0000013465501509   
0601GLA0d       20090101000895100000005000 0000013582501513   
0601GLA0d       20090101000900100000005000 0000013700001518   
0601GLA0d       20090101000905100000005000 0000013817001523   
0601GLA0d       20090101000910100000005000 0000013934001527   
0601GLA0d       20090101000915100000005000 0000014051501531   
0601GLA0d       20090101000920100000005000 0000014168501536   
0601GLA0d       20090101000925100000005000 0000014286001541   
0601GLA0d       20090101000930100000005000 0000014403001544   
0601GLA0d       20090101000935100000005000 0000014520001549   
0601GLA0d       20090101000940100000005000 0000014637501553   
0601GLA0d       20090101000945100000005000 0000014754501557   
0601GLA0d       20090101000950100000005000 0000014872001561   
0601GLA0d       20090101000955100000005000 0000014989001566   
0601GLA0d       20090101000960100000005000 0000015106501570   
0601GLA0d       20090101000965100000005000 0000015223501573   
0601GLA0d       20090101000970100000005000 0000015340501577   
0601GLA0d       20090101000975100000005000 0000015458001582   
0601GLA0d       20090101000980100000005000 0000015575001586   
0601GLA0d       20090101000985100000005000 0000015692501589   
0601GLA0d       20090101000990100000005000 0000015833001595   
0601GLA0d       20090101000995100000005000 0000015950001599   
0601GLA0d       20090101001000100000005000 0000016067501603   
0601GLA0d       20090101001005100000005000 0000016184501606   
0601GLA0d       20090101001010100000005000 0000016309001611   
0601GLA0d       20090101001015100000005000 0000016435501616   
0601GLA0d       20090101001020100000005000 0000016562001620   
0601GLA0d       20090101001025100000005000 0000016688501624   
0601GLA0d       20090101001030100000005000 0000016816501629   
0601GLA0d       20090101001035100000005000 0000016945501634   
0601GLA0d       20090101001040100000005000 0000017074001637   
0601GLA0d       20090101001045100000005000 0000017203001642   
0601GLA0d       20090101001050100000005000 0000017332001647   
0601GLA0d       20090101001055100000005000 0000017460501651   
0601GLA0d       20090101001060100000005000 0000017589501656   
0601GLA0d       20090101001065100000005000 0000017744001662   
0601GLA0d       20090101001070100000005000 0000017873001666   
0601GLA0d       20090101001075100000005000 0000018001501671   
0601GLA0d       20090101001080100000005000 0000018130501675   
0601GLA0d       20090101001085100000005000 0000018259001679   
0601GLA0d       20090101001090100000005000 0000018413501685   
0601GLA0d       20090101001095100000005000 0000018542501689   
0601GLA0d       20090101001100100000005000 0000018671501693   
0601GLA0d       20090101001105100000005000 0000018800001698   
0601GLA0d       20090101001110100000005000 0000018929001702   
0601GLA0d       20090101001115100000005000 0000019083501707   
0601GLA0d       20090101001120100000005000 0000019212501711   
0601GLA0d       20090101001125100000005000 0000019367001718   
0601GLA0d       20090101001130100000005000 0000019495501722   
0601GLA0d       20090101001135100000005000 0000019624501725   
0601GLA0d       20090101001140100000005000 0000019779001731   
0601GLA0d       20090101001145100000005000 0000019908001735   
0601GLA0d       20090101001150100000005000 0000020036501739   
0601GLA0d       20090101001155100000005000 0000020191001744   
0601GLA0d       20090101001160100000005000 0000020320001748   
0601GLA0d       20090101001165100000005000 0000020449001752   
0601GLA0d       20090101001170100000005000 0000020603501757   
0601GLA0d       20090101001175100000005000 0000020732001761   
0601GLA0d       20090101001180100000005000 0000020886501767   
0601GLA0d       20090101001185100000005000 0000021015501770   
0601GLA0d       20090101001190100000005000 0000021144501773   
0601GLA0d       20090101001195100000005000 0000021299001779   
0601GLA0d       20090101001200100000005000 0000021427501782   
0601GLA0d       20090101001205100000005000 0000021556501786   
0601GLA0d       20090101001210100000005000 0000021711001791   
0601GLA0d       20090101001215100000005000 0000021840001794   
0601GLA0d       20090101001220100000005000 0000021968501797   
0601GLA0d       20090101001225100000005000 0000022123001802   
0601GLA0d       20090101001230100000005000 0000022252001805   
0601GLA0d       20090101001235100000005000 0000022406501811   
0601GLA0d       20090101001240100000005000 0000022535501814   
0601GLA0d       20090101001245100000005000 0000022664001816   
0601GLA0d       20090101001250100000005000 0000022818501822   
0601GLA0d       20090101001255100000005000 0000022947501825   
0601GLA0d       20090101001260100000005000 0000023076501828   
0601GLA0d       20090101001265100000005000 0000023231001833   
0601GLA0d       20090101001270100000005000 0000023359501836   
0601GLA0d       20090101001275100000005000 0000023514001840   
0601GLA0d       20090101001280100000005000 0000023643001843   
0601GLA0d       20090101001285100000005000 0000023772001846   
0601GLA0d       20090101001290100000005000 0000023937501852   
0601GLA0d       20090101001295100000005000 0000024075501856   
0601GLA0d       20090101001300100000005000 0000024213501859   
0601GLA0d       20090101001305100000005000 0000024379001865   
0601GLA0d       20090101001310100000005000 0000024517001868   
0601GLA0d       20090101001315100000005000 0000024655001872   
0601GLA0d       20090101001320100000005000 0000024820501877   
0601GLA0d       20090101001325100000005000 0000024958501880   
0601GLA0d       20090101001330100000005000 0000025124001885   
0601GLA0d       20090101001335100000005000 0000025262001889   
0601GLA0d       20090101001340100000005000 0000025400001892   
0601GLA0d       20090101001345100000005000 0000025565501898   
0601GLA0d       20090101001350100000005000 0000025703501900   
0601GLA0d       20090101001355100000005000 0000025841501903   
0601GLA0d       20090101001360100000005000 0000026007001909   
0601GLA0d       20090101001365100000005000 0000026145001912   
0601GLA0d       20090101001370100000005000 0000026310501917   
0601GLA0d       20090101001375100000005000 0000026448501920   
0601GLA0d       20090101001380100000005000 0000026586501923   
0601GLA0d       20090101001385100000005000 0000026752001928   
0601GLA0d       20090101001390100000005000 0000026890001931   
0601GLA0d       20090101001395100000005000 0000027028001934   
0601GLA0d       20090101001400100000005000 0000027193501939   
0601GLA0d       20090101001405100000005000 0000027331501942   
0601GLA0d       20090101001410100000005000 0000027469501945   
0601GLA0d       20090101001415100000005000 0000027635001950   
0601GLA0d       20090101001420100000005000 0000027773001952   
0601GLA0d       20090101001425100000005000 0000027938501957   
0601GLA0d       20090101001430100000005000 0000028076501960   
0601GLA0d       20090101001435100000005000 0000028214501962   
0601GLA0d       20090101001440100000005000 0000028380001967   
0601GLA0d       20090101001445100000005000 0000028518001970   
0601GLA0d       20090101001450100000005000 0000028656001973   
0601GLA0d       20090101001455100000005000 0000028821501977   
0601GLA0d       20090101001460100000005000 0000028959501980   
0601GLA0d       20090101001465100000005000 0000029097501983   
0601GLA0d       20090101001470100000005000 0000029263001987   
0601GLA0d       20090101001475100000005000 0000029401001990   
0601GLA0d       20090101001480100000005000 0000029566501995   
0601GLA0d       20090101001485100000005000 0000029704501997   
0601GLA0d       20090101001490100000005000 0000029842501999   
0601GLA0d       20090101001495100000005000 0000030008002004   
0601GLA0d       20090101001500100000500000 0000037943002168   
0601GLA0d       20090101002000100000500000 0000054235502411   
0601GLA0d       20090101002500100000500000 0000070892502578   
0601GLA1d       20090101000000100000040000 0100000104000500   
0601GLA1d       20090101000040100000005000 0100000104000235   
0601GLA1d       20090101000045100000005000 0100000104000211   
0601GLA1d       20090101000050100000005000 0100000104000190   
0601GLA1d       20090101000055100000005000 0100000104000174   
0601GLA1d       20090101000060100000005000 0100000104000160   
0601GLA1d       20090101000065100000005000 0100000104000148   
0601GLA1d       20090101000070100000005000 0100000104000138   
0601GLA1d       20090101000075100000005000 0100000104000129   
0601GLA1d       20090101000080100000005000 0100000104000121   
0601GLA1d       20090101000085100000005000 0100000104000114   
0601GLA1d       20090101000090100000005000 0100000104000108   
0601GLA1d       20090101000095100000005000 0100000104000103   
0601GLA1d       20090101000100100000005000 0100000104000098   
0601GLA1d       20090101000105100000005000 0100000104000093   
0601GLA1d       20090101000110100000005000 0100000104000089   
0601GLA1d       20090101000115100000005000 0100000104000085   
0601GLA1d       20090101000120100000005000 0100000104000082   
0601GLA1d       20090101000125100000005000 0100000104000078   
0601GLA1d       20090101000130100000005000 0100000104000075   
0601GLA1d       20090101000135100000005000 0100000104000073   
0601GLA1d       20090101000140100000005000 0100000104000070   
0601GLA1d       20090101000145100000005000 0100000104000068   
0601GLA1d       20090101000150100000005000 0100000104000066   
0601GLA1d       20090101000155100000005000 0100000104000063   
0601GLA1d       20090101000160100000005000 0100000104000062   
0601GLA1d       20090101000165100000005000 0100000104000060   
0601GLA1d       20090101000170100000005000 0100000104000058   
0601GLA1d       20090101000175100000005000 0100000104000056   
0601GLA1d       20090101000180100000005000 0100000104000055   
0601GLA1d       20090101000185100000005000 0100000110000059   
0601GLA1d       20090101000190100000005000 0100000139000073   
0601GLA1d       20090101000195100000005000 0100000168000086   
0601GLA1d       20090101000200100000005000 0100000197500099   
0601GLA1d       20090101000205100000005000 0100000226500111   
0601GLA1d       20090101000210100000005000 0100000278000132   
0601GLA1d       20090101000215100000005000 0100000310000143   
0601GLA1d       20090101000220100000005000 0100000342500153   
0601GLA1d       20090101000225100000005000 0100000375000167   
0601GLA1d       20090101000230100000005000 0100000411000176   
0601GLA1d       20090101000235100000005000 0100000462500194   
0601GLA1d       20090101000240100000005000 0100000514500210   
0601GLA1d       20090101000245100000005000 0100000566000230   
0601GLA1d       20090101000250100000005000 0100000618000246   
0601GLA1d       20090101000255100000005000 0100000669500260   
0601GLA1d       20090101000260100000005000 0100000721000274   
0601GLA1d       20090101000265100000005000 0100000773000288   
0601GLA1d       20090101000270100000005000 0100000824500301   
0601GLA1d       20090101000275100000005000 0100000876500317   
0601GLA1d       20090101000280100000005000 0100000928000329   
0601GLA1d       20090101000285100000005000 0100000979500341   
0601GLA1d       20090101000290100000005000 0100001042000356   
0601GLA1d       20090101000295100000005000 0100001093500366   
0601GLA1d       20090101000300100000005000 0100001145000380   
0601GLA1d       20090101000305100000005000 0100001204000390   
0601GLA1d       20090101000310100000005000 0100001273000406   
0601GLA1d       20090101000315100000005000 0100001342000422   
0601GLA1d       20090101000320100000005000 0100001411500437   
0601GLA1d       20090101000325100000005000 0100001480500452   
0601GLA1d       20090101000330100000005000 0100001549500466   
0601GLA1d       20090101000335100000005000 0100001619000480   
0601GLA1d       20090101000340100000005000 0100001688500493   
0601GLA1d       20090101000345100000005000 0100001758000506   
0601GLA1d       20090101000350100000005000 0100001827500519   
0601GLA1d       20090101000355100000005000 0100001898000531   
0601GLA1d       20090101000360100000005000 0100001969500543   
0601GLA1d       20090101000365100000005000 0100002041000555   
0601GLA1d       20090101000370100000005000 0100002112500566   
0601GLA1d       20090101000375100000005000 0100002184000577   
0601GLA1d       20090101000380100000005000 0100002255500591   
0601GLA1d       20090101000385100000005000 0100002327000601   
0601GLA1d       20090101000390100000005000 0100002399000611   
0601GLA1d       20090101000395100000005000 0100002470500621   
0601GLA1d       20090101000400100000005000 0100002542000631   
0601GLA1d       20090101000405100000005000 0100002628000645   
0601GLA1d       20090101000410100000005000 0100002699500655   
0601GLA1d       20090101000415100000005000 0100002771000663   
0601GLA1d       20090101000420100000005000 0100002842500672   
0601GLA1d       20090101000425100000005000 0100002914000681   
0601GLA1d       20090101000430100000005000 0100002990000691   
0601GLA1d       20090101000435100000005000 0100003069000702   
0601GLA1d       20090101000440100000005000 0100003147500712   
0601GLA1d       20090101000445100000005000 0100003226500722   
0601GLA1d       20090101000450100000005000 0100003305500731   
0601GLA1d       20090101000455100000005000 0100003384500739   
0601GLA1d       20090101000460100000005000 0100003463000748   
0601GLA1d       20090101000465100000005000 0100003542000757   
0601GLA1d       20090101000470100000005000 0100003621000766   
0601GLA1d       20090101000475100000005000 0100003700000775   
0601GLA1d       20090101000480100000005000 0100003794500785   
0601GLA1d       20090101000485100000005000 0100003873500794   
0601GLA1d       20090101000490100000005000 0100003952500802   
0601GLA1d       20090101000495100000005000 0100004031000810   
0601GLA1d       20090101000500100000005000 0100004110000818   
0601GLA1d       20090101000505100000005000 0100004205000830   
0601GLA1d       20090101000510100000005000 0100004283500835   
0601GLA1d       20090101000515100000005000 0100004362500843   
0601GLA1d       20090101000520100000005000 0100004441500850   
0601GLA1d       20090101000525100000005000 0100004536000861   
