00SG               20081219                                                                                   
0601SGA0d       20090101000720100000005000 0000009850001363   
0601SGA0d       20090101000725100000005000 0000009960001369   
0601SGA0d       20090101000730100000005000 0000010090001377   
0601SGA0d       20090101000735100000005000 0000010210001384   
0601SGA0d       20090101000740100000005000 0000010320001390   
0601SGA0d       20090101000745100000005000 0000010430001395   
0601SGA0d       20090101000750100000005000 0000010560001403   
0601SGA0d       20090101000755100000005000 0000010680001410   
0601SGA0d       20090101000760100000005000 0000010810001418   
0601SGA0d       20090101000765100000005000 0000010930001424   
0601SGA0d       20090101000770100000005000 0000011050001430   
0601SGA0d       20090101000775100000005000 0000011200001441   
0601SGA0d       20090101000780100000005000 0000011320001447   
0601SGA0d       20090101000785100000005000 0000011450001454   
0601SGA0d       20090101000790100000005000 0000011570001460   
0601SGA0d       20090101000795100000005000 0000011720001470   
0601SGA0d       20090101000800100000005000 0000011840001475   
0601SGA0d       20090101000805100000005000 0000011970001482   
0601SGA0d       20090101000810100000005000 0000012090001488   
0601SGA0d       20090101000815100000005000 0000012220001495   
0601SGA0d       20090101000820100000005000 0000012360001503   
0601SGA0d       20090101000825100000005000 0000012490001509   
0601SGA0d       20090101000830100000005000 0000012610001515   
0601SGA0d       20090101000835100000005000 0000012740001521   
0601SGA0d       20090101000840100000005000 0000012880001529   
0601SGA0d       20090101000845100000005000 0000013010001535   
0601SGA0d       20090101000850100000005000 0000013130001540   
0601SGA0d       20090101000855100000005000 0000013260001546   
0601SGA0d       20090101000860100000005000 0000013380001551   
0601SGA0d       20090101000865100000005000 0000013520001559   
0601SGA0d       20090101000870100000005000 0000013660001566   
0601SGA0d       20090101000875100000005000 0000013780001570   
0601SGA0d       20090101000880100000005000 0000013910001576   
0601SGA0d       20090101000885100000005000 0000014050001583   
0601SGA0d       20090101000890100000005000 0000014180001589   
0601SGA0d       20090101000895100000005000 0000014300001593   
0601SGA0d       20090101000900100000005000 0000014420001598   
0601SGA0d       20090101000905100000005000 0000014550001603   
0601SGA0d       20090101000910100000005000 0000014700001611   
0601SGA0d       20090101000915100000005000 0000014820001615   
0601SGA0d       20090101000920100000005000 0000014940001620   
0601SGA0d       20090101000925100000005000 0000015070001625   
0601SGA0d       20090101000930100000005000 0000015210001631   
0601SGA0d       20090101000935100000005000 0000015340001636   
0601SGA0d       20090101000940100000005000 0000015460001640   
0601SGA0d       20090101000945100000005000 0000015590001645   
0601SGA0d       20090101000950100000005000 0000015710001649   
0601SGA0d       20090101000955100000005000 0000015860001656   
0601SGA0d       20090101000960100000005000 0000015980001660   
0601SGA0d       20090101000965100000005000 0000016110001665   
0601SGA0d       20090101000970100000005000 0000016230001669   
0601SGA0d       20090101000975100000005000 0000016380001676   
0601SGA0d       20090101000980100000005000 0000016500001679   
0601SGA0d       20090101000985100000005000 0000016630001684   
0601SGA0d       20090101000990100000005000 0000016760001689   
0601SGA0d       20090101000995100000005000 0000016880001692   
0601SGA0d       20090101001000100000005000 0000017030001699   
0601SGA0d       20090101001005100000005000 0000017150001702   
0601SGA0d       20090101001010100000005000 0000017290001708   
0601SGA0d       20090101001015100000005000 0000017420001712   
0601SGA0d       20090101001020100000005000 0000017570001718   
0601SGA0d       20090101001025100000005000 0000017710001724   
0601SGA0d       20090101001030100000005000 0000017840001728   
0601SGA0d       20090101001035100000005000 0000017980001733   
0601SGA0d       20090101001040100000005000 0000018110001737   
0601SGA0d       20090101001045100000005000 0000018260001743   
0601SGA0d       20090101001050100000005000 0000018400001748   
0601SGA0d       20090101001055100000005000 0000018530001752   
0601SGA0d       20090101001060100000005000 0000018690001759   
0601SGA0d       20090101001065100000005000 0000018830001764   
0601SGA0d       20090101001070100000005000 0000018960001768   
0601SGA0d       20090101001075100000005000 0000019110001774   
0601SGA0d       20090101001080100000005000 0000019250001778   
0601SGA0d       20090101001085100000005000 0000019400001784   
0601SGA0d       20090101001090100000005000 0000019540001789   
0601SGA0d       20090101001095100000005000 0000019680001793   
0601SGA0d       20090101001100100000005000 0000019830001799   
0601SGA0d       20090101001105100000005000 0000019970001803   
0601SGA0d       20090101001110100000005000 0000020100001807   
0601SGA0d       20090101001115100000005000 0000020260001813   
0601SGA0d       20090101001120100000005000 0000020400001817   
0601SGA0d       20090101001125100000005000 0000020560001824   
0601SGA0d       20090101001130100000005000 0000020690001827   
0601SGA0d       20090101001135100000005000 0000020830001831   
0601SGA0d       20090101001140100000005000 0000020990001837   
0601SGA0d       20090101001145100000005000 0000021120001841   
0601SGA0d       20090101001150100000005000 0000021250001844   
0601SGA0d       20090101001155100000005000 0000021410001850   
0601SGA0d       20090101001160100000005000 0000021550001854   
0601SGA0d       20090101001165100000005000 0000021680001857   
0601SGA0d       20090101001170100000005000 0000021840001863   
0601SGA0d       20090101001175100000005000 0000021980001867   
0601SGA0d       20090101001180100000005000 0000022140001872   
0601SGA0d       20090101001185100000005000 0000022270001875   
0601SGA0d       20090101001190100000005000 0000022410001879   
0601SGA0d       20090101001195100000005000 0000022570001885   
0601SGA0d       20090101001200100000005000 0000022700001888   
0601SGA0d       20090101001205100000005000 0000022840001892   
0601SGA0d       20090101001210100000005000 0000023000001897   
0601SGA0d       20090101001215100000005000 0000023130001900   
0601SGA0d       20090101001220100000005000 0000023270001903   
0601SGA0d       20090101001225100000005000 0000023430001909   
0601SGA0d       20090101001230100000005000 0000023560001912   
0601SGA0d       20090101001235100000005000 0000023720001917   
0601SGA0d       20090101001240100000005000 0000023860001920   
0601SGA0d       20090101001245100000005000 0000023990001923   
0601SGA0d       20090101001250100000005000 0000024150001928   
0601SGA0d       20090101001255100000005000 0000024290001932   
0601SGA0d       20090101001260100000005000 0000024420001934   
0601SGA0d       20090101001265100000005000 0000024580001939   
0601SGA0d       20090101001270100000005000 0000024720001943   
0601SGA0d       20090101001275100000005000 0000024880001948   
0601SGA0d       20090101001280100000005000 0000025010001950   
0601SGA0d       20090101001285100000005000 0000025150001953   
0601SGA0d       20090101001290100000005000 0000025320001959   
0601SGA0d       20090101001295100000005000 0000025460001962   
0601SGA0d       20090101001300100000005000 0000025600001965   
0601SGA0d       20090101001305100000005000 0000025780001972   
0601SGA0d       20090101001310100000005000 0000025920001975   
0601SGA0d       20090101001315100000005000 0000026060001978   
0601SGA0d       20090101001320100000005000 0000026230001983   
0601SGA0d       20090101001325100000005000 0000026380001987   
0601SGA0d       20090101001330100000005000 0000026550001992   
0601SGA0d       20090101001335100000005000 0000026690001996   
0601SGA0d       20090101001340100000005000 0000026840001999   
0601SGA0d       20090101001345100000005000 0000027010002004   
0601SGA0d       20090101001350100000005000 0000027150002007   
0601SGA0d       20090101001355100000005000 0000027290002010   
0601SGA0d       20090101001360100000005000 0000027470002016   
0601SGA0d       20090101001365100000005000 0000027610002019   
0601SGA0d       20090101001370100000005000 0000027780002024   
0601SGA0d       20090101001375100000005000 0000027930002028   
0601SGA0d       20090101001380100000005000 0000028070002030   
0601SGA0d       20090101001385100000005000 0000028240002035   
0601SGA0d       20090101001390100000005000 0000028380002038   
0601SGA0d       20090101001395100000005000 0000028530002042   
0601SGA0d       20090101001400100000005000 0000028700002046   
0601SGA0d       20090101001405100000005000 0000028840002049   
0601SGA0d       20090101001410100000005000 0000028990002052   
0601SGA0d       20090101001415100000005000 0000029160002057   
0601SGA0d       20090101001420100000005000 0000029300002060   
0601SGA0d       20090101001425100000005000 0000029470002064   
0601SGA0d       20090101001430100000005000 0000029620002068   
0601SGA0d       20090101001435100000005000 0000029760002070   
0601SGA0d       20090101001440100000005000 0000029930002075   
0601SGA0d       20090101001445100000005000 0000030080002078   
0601SGA0d       20090101001450100000005000 0000030220002081   
0601SGA0d       20090101001455100000005000 0000030390002085   
0601SGA0d       20090101001460100000005000 0000030530002088   
0601SGA0d       20090101001465100000005000 0000030680002091   
0601SGA0d       20090101001470100000005000 0000030850002095   
0601SGA0d       20090101001475100000005000 0000030990002097   
0601SGA0d       20090101001480100000005000 0000031170002103   
0601SGA0d       20090101001485100000005000 0000031310002105   
0601SGA0d       20090101001490100000010000 0000000000002104   
0601SGA0d       20090101001500100000500000 0000000000002257   
0601SGA0d       20090101002000100000500000 0000000000002483   
0601SGA0d       20090101002500100007499900 0000000000002554   
0601SGA1d       20090101000000100000115000 0100000030000027   
0601SGA1d       20090101000115100000005000 0100000030000026   
0601SGA1d       20090101000120100000005000 0100000030000024   
0601SGA1d       20090101000125100000005000 0100000030000024   
0601SGA1d       20090101000130100000005000 0100000030000023   
0601SGA1d       20090101000135100000005000 0100000030000022   
0601SGA1d       20090101000140100000005000 0100000030000021   
0601SGA1d       20090101000145100000005000 0100000030000020   
0601SGA1d       20090101000150100000005000 0100000030000020   
0601SGA1d       20090101000155100000005000 0100000030000019   
0601SGA1d       20090101000160100000005000 0100000030000018   
0601SGA1d       20090101000165100000005000 0100000030000018   
0601SGA1d       20090101000170100000005000 0100000030000017   
0601SGA1d       20090101000175100000005000 0100000030000017   
0601SGA1d       20090101000180100000005000 0100000030000016   
0601SGA1d       20090101000185100000005000 0100000030000016   
0601SGA1d       20090101000190100000005000 0100000030000016   
0601SGA1d       20090101000195100000005000 0100000050000025   
0601SGA1d       20090101000200100000005000 0100000070000035   
0601SGA1d       20090101000205100000005000 0100000110000053   
0601SGA1d       20090101000210100000005000 0100000150000071   
0601SGA1d       20090101000215100000005000 0100000200000092   
0601SGA1d       20090101000220100000005000 0100000250000112   
0601SGA1d       20090101000225100000005000 0100000300000132   
0601SGA1d       20090101000230100000005000 0100000350000151   
0601SGA1d       20090101000235100000005000 0100000400000168   
0601SGA1d       20090101000240100000005000 0100000460000190   
0601SGA1d       20090101000245100000005000 0100000510000206   
0601SGA1d       20090101000250100000005000 0100000570000226   
0601SGA1d       20090101000255100000005000 0100000630000245   
0601SGA1d       20090101000260100000005000 0100000690000263   
0601SGA1d       20090101000265100000005000 0100000740000277   
0601SGA1d       20090101000270100000005000 0100000800000294   
0601SGA1d       20090101000275100000005000 0100000880000317   
0601SGA1d       20090101000280100000005000 0100000940000333   
0601SGA1d       20090101000285100000005000 0100001000000348   
0601SGA1d       20090101000290100000005000 0100001080000369   
0601SGA1d       20090101000295100000005000 0100001150000387   
0601SGA1d       20090101000300100000005000 0100001210000400   
0601SGA1d       20090101000305100000005000 0100001280000416   
0601SGA1d       20090101000310100000005000 0100001340000429   
0601SGA1d       20090101000315100000005000 0100001410000444   
0601SGA1d       20090101000320100000005000 0100001480000459   
0601SGA1d       20090101000325100000005000 0100001540000470   
0601SGA1d       20090101000330100000005000 0100001610000484   
0601SGA1d       20090101000335100000005000 0100001670000495   
0601SGA1d       20090101000340100000005000 0100001740000508   
0601SGA1d       20090101000345100000005000 0100001800000518   
0601SGA1d       20090101000350100000005000 0100001870000530   
0601SGA1d       20090101000355100000005000 0100001950000545   
0601SGA1d       20090101000360100000005000 0100002030000560   
0601SGA1d       20090101000365100000005000 0100002100000571   
0601SGA1d       20090101000370100000005000 0100002180000585   
0601SGA1d       20090101000375100000005000 0100002250000596   
0601SGA1d       20090101000380100000005000 0100002330000609   
0601SGA1d       20090101000385100000005000 0100002410000622   
0601SGA1d       20090101000390100000005000 0100002480000632   
0601SGA1d       20090101000395100000005000 0100002560000644   
0601SGA1d       20090101000400100000005000 0100002630000653   
