00BE               20081114                                                                                   
0601BEA0d       20090101000610100000005000 0000008030001311   
0601BEA0d       20090101000615100000005000 0000008150001320   
0601BEA0d       20090101000620100000005000 0000008250001325   
0601BEA0d       20090101000625100000005000 0000008360001332   
0601BEA0d       20090101000630100000005000 0000008460001338   
0601BEA0d       20090101000635100000005000 0000008560001343   
0601BEA0d       20090101000640100000005000 0000008680001351   
0601BEA0d       20090101000645100000005000 0000008780001356   
0601BEA0d       20090101000650100000005000 0000008880001361   
0601BEA0d       20090101000655100000005000 0000008990001367   
0601BEA0d       20090101000660100000005000 0000009110001375   
0601BEA0d       20090101000665100000005000 0000009210001380   
0601BEA0d       20090101000670100000005000 0000009310001384   
0601BEA0d       20090101000675100000005000 0000009410001389   
0601BEA0d       20090101000680100000005000 0000009510001393   
0601BEA0d       20090101000685100000005000 0000009640001402   
0601BEA0d       20090101000690100000005000 0000009750001408   
0601BEA0d       20090101000695100000005000 0000009870001415   
0601BEA0d       20090101000700100000005000 0000009980001421   
0601BEA0d       20090101000705100000005000 0000010120001430   
0601BEA0d       20090101000710100000005000 0000010230001436   
0601BEA0d       20090101000715100000005000 0000010340001441   
0601BEA0d       20090101000720100000005000 0000010470001449   
0601BEA0d       20090101000725100000005000 0000010600001457   
0601BEA0d       20090101000730100000005000 0000010740001466   
0601BEA0d       20090101000735100000005000 0000010870001474   
0601BEA0d       20090101000740100000005000 0000010990001480   
0601BEA0d       20090101000745100000005000 0000011120001488   
0601BEA0d       20090101000750100000005000 0000011270001498   
0601BEA0d       20090101000755100000005000 0000011400001505   
0601BEA0d       20090101000760100000005000 0000011520001511   
0601BEA0d       20090101000765100000005000 0000011650001518   
0601BEA0d       20090101000770100000005000 0000011780001525   
0601BEA0d       20090101000775100000005000 0000011930001534   
0601BEA0d       20090101000780100000005000 0000012050001540   
0601BEA0d       20090101000785100000005000 0000012180001547   
0601BEA0d       20090101000790100000005000 0000012310001553   
0601BEA0d       20090101000795100000005000 0000012460001562   
0601BEA0d       20090101000800100000005000 0000012590001569   
0601BEA0d       20090101000805100000005000 0000012720001575   
0601BEA0d       20090101000810100000005000 0000012850001582   
0601BEA0d       20090101000815100000005000 0000012980001588   
0601BEA0d       20090101000820100000005000 0000013130001596   
0601BEA0d       20090101000825100000005000 0000013250001601   
0601BEA0d       20090101000830100000005000 0000013380001607   
0601BEA0d       20090101000835100000005000 0000013510001613   
0601BEA0d       20090101000840100000005000 0000013660001621   
0601BEA0d       20090101000845100000005000 0000013790001627   
0601BEA0d       20090101000850100000005000 0000013920001633   
0601BEA0d       20090101000855100000005000 0000014050001638   
0601BEA0d       20090101000860100000005000 0000014180001644   
0601BEA0d       20090101000865100000005000 0000014320001651   
0601BEA0d       20090101000870100000005000 0000014450001656   
0601BEA0d       20090101000875100000005000 0000014590001663   
0601BEA0d       20090101000880100000005000 0000014720001668   
0601BEA0d       20090101000885100000005000 0000014870001675   
