00VS               20081217                                                                                   
0601VSA0d       20090101002180100000010000 0000000000002807   
0601VSA0d       20090101002190100000010000 0000000000002810   
0601VSA0d       20090101002200100000010000 0000000000002814   
0601VSA0d       20090101002210100000010000 0000000000002818   
0601VSA0d       20090101002220100000010000 0000000000002822   
0601VSA0d       20090101002230100000010000 0000000000002825   
0601VSA0d       20090101002240100000010000 0000000000002828   
0601VSA0d       20090101002250100000010000 0000000000002832   
0601VSA0d       20090101002260100000010000 0000000000002836   
0601VSA0d       20090101002270100000010000 0000000000002840   
0601VSA0d       20090101002280100000010000 0000000000002843   
0601VSA0d       20090101002290100000010000 0000000000002847   
0601VSA0d       20090101002300100000010000 0000000000002850   
0601VSA0d       20090101002310100000010000 0000000000002854   
0601VSA0d       20090101002320100000010000 0000000000002857   
0601VSA0d       20090101002330100000010000 0000000000002861   
0601VSA0d       20090101002340100000010000 0000000000002864   
0601VSA0d       20090101002350100000010000 0000000000002868   
0601VSA0d       20090101002360100000010000 0000000000002871   
0601VSA0d       20090101002370100000010000 0000000000002875   
0601VSA0d       20090101002380100000010000 0000000000002878   
0601VSA0d       20090101002390100000010000 0000000000002881   
0601VSA0d       20090101002400100000010000 0000000000002884   
0601VSA0d       20090101002410100000010000 0000000000002888   
0601VSA0d       20090101002420100000010000 0000000000002891   
0601VSA0d       20090101002430100000010000 0000000000002894   
0601VSA0d       20090101002440100000010000 0000000000002898   
0601VSA0d       20090101002450100000010000 0000000000002901   
0601VSA0d       20090101002460100000010000 0000000000002904   
0601VSA0d       20090101002470100000010000 0000000000002907   
0601VSA0d       20090101002480100000010000 0000000000002911   
0601VSA0d       20090101002490100000010000 0000000000002914   
0601VSA0d       20090101002500100000010000 0000000000002917   
0601VSA0d       20090101002510100000010000 0000000000002920   
0601VSA0d       20090101002520100000010000 0000000000002923   
0601VSA0d       20090101002530100000010000 0000000000002926   
0601VSA0d       20090101002540100000010000 0000000000002929   
0601VSA0d       20090101002550100000010000 0000000000002932   
0601VSA0d       20090101002560100000010000 0000000000002936   
0601VSA0d       20090101002570100000010000 0000000000002939   
0601VSA0d       20090101002580100000010000 0000000000002941   
0601VSA0d       20090101002590100000010000 0000000000002944   
0601VSA0d       20090101002600100000010000 0000000000002947   
0601VSA0d       20090101002610100000010000 0000000000002951   
0601VSA0d       20090101002620100000010000 0000000000002953   
0601VSA0d       20090101002630100000010000 0000000000002956   
0601VSA0d       20090101002640100000010000 0000000000002959   
0601VSA0d       20090101002650100000010000 0000000000002963   
0601VSA0d       20090101002660100000010000 0000000000002965   
0601VSA0d       20090101002670100000010000 0000000000002968   
0601VSA0d       20090101002680100000010000 0000000000002971   
0601VSA0d       20090101002690100000010000 0000000000002973   
0601VSA0d       20090101002700100000010000 0000000000002975   
0601VSA0d       20090101002710100000010000 0000000000002978   
0601VSA0d       20090101002720100000010000 0000000000002981   
0601VSA0d       20090101002730100000010000 0000000000002983   
0601VSA0d       20090101002740100000010000 0000000000002985   
0601VSA0d       20090101002750100000010000 0000000000002988   
0601VSA0d       20090101002760100000010000 0000000000002990   
0601VSA0d       20090101002770100000010000 0000000000002992   
0601VSA0d       20090101002780100000010000 0000000000002995   
0601VSA0d       20090101002790100000010000 0000000000002997   
0601VSA0d       20090101002800100000010000 0000000000003000   
0601VSA0d       20090101002810100000010000 0000000000003002   
0601VSA0d       20090101002820100000010000 0000000000003005   
0601VSA0d       20090101002830100000010000 0000000000003007   
0601VSA0d       20090101002840100000010000 0000000000003009   
0601VSA0d       20090101002850100000010000 0000000000003011   
0601VSA0d       20090101002860100000010000 0000000000003014   
0601VSA0d       20090101002870100000010000 0000000000003016   
0601VSA0d       20090101002880100000010000 0000000000003018   
0601VSA0d       20090101002890100000010000 0000000000003020   
0601VSA0d       20090101002900100000010000 0000000000003023   
0601VSA0d       20090101002910100000010000 0000000000003025   
0601VSA0d       20090101002920100000010000 0000000000003027   
0601VSA0d       20090101002930100000010000 0000000000003029   
0601VSA0d       20090101002940100000010000 0000000000003031   
0601VSA0d       20090101002950100000010000 0000000000003034   
0601VSA0d       20090101002960100000010000 0000000000003036   
0601VSA0d       20090101002970100000010000 0000000000003038   
0601VSA0d       20090101002980100000010000 0000000000003039   
0601VSA0d       20090101002990100000010000 0000000000003041   
0601VSA0d       20090101003000100000010000 0000000000003043   
0601VSA0d       20090101003010100000010000 0000000000003045   
0601VSA0d       20090101003020100000010000 0000000000003047   
0601VSA0d       20090101003030100000010000 0000000000003048   
0601VSA0d       20090101003040100000010000 0000000000003050   
0601VSA0d       20090101003050100000010000 0000000000003052   
0601VSA0d       20090101003060100000010000 0000000000003054   
0601VSA0d       20090101003070100000010000 0000000000003055   
0601VSA0d       20090101003080100000010000 0000000000003057   
0601VSA0d       20090101003090100000010000 0000000000003058   
0601VSA0d       20090101003100100000010000 0000000000003060   
0601VSA0d       20090101003110100000010000 0000000000003062   
0601VSA0d       20090101003120100000010000 0000000000003064   
0601VSA0d       20090101003130100000010000 0000000000003065   
0601VSA0d       20090101003140100000010000 0000000000003067   
0601VSA0d       20090101003150100000010000 0000000000003068   
0601VSA0d       20090101003160100000010000 0000000000003070   
0601VSA0d       20090101003170100000010000 0000000000003072   
0601VSA0d       20090101003180100000010000 0000000000003073   
0601VSA0d       20090101003190100000010000 0000000000003075   
0601VSA0d       20090101003200100000010000 0000000000003077   
0601VSA0d       20090101003210100000010000 0000000000003078   
0601VSA0d       20090101003220100000010000 0000000000003079   
0601VSA0d       20090101003230100000010000 0000000000003081   
0601VSA0d       20090101003240100000010000 0000000000003083   
0601VSA0d       20090101003250100000010000 0000000000003085   
0601VSA0d       20090101003260100000010000 0000000000003086   
0601VSA0d       20090101003270100000010000 0000000000003087   
0601VSA0d       20090101003280100000010000 0000000000003089   
0601VSA0d       20090101003290100000010000 0000000000003091   
0601VSA0d       20090101003300100000010000 0000000000003092   
0601VSA0d       20090101003310100000010000 0000000000003094   
0601VSA0d       20090101003320100000010000 0000000000003095   
0601VSA0d       20090101003330100000010000 0000000000003096   
0601VSA0d       20090101003340100000010000 0000000000003098   
0601VSA0d       20090101003350100000010000 0000000000003100   
0601VSA0d       20090101003360100000010000 0000000000003101   
0601VSA0d       20090101003370100000010000 0000000000003102   
0601VSA0d       20090101003380100000010000 0000000000003104   
0601VSA0d       20090101003390100000010000 0000000000003105   
0601VSA0d       20090101003400100000010000 0000000000003107   
0601VSA0d       20090101003410100000010000 0000000000003108   
0601VSA0d       20090101003420100000010000 0000000000003109   
0601VSA0d       20090101003430100000010000 0000000000003110   
0601VSA0d       20090101003440100000010000 0000000000003111   
0601VSA0d       20090101003450100000010000 0000000000003112   
0601VSA0d       20090101003460100000010000 0000000000003114   
0601VSA0d       20090101003470100000010000 0000000000003115   
0601VSA0d       20090101003480100000010000 0000000000003115   
0601VSA0d       20090101003490100000010000 0000000000003117   
0601VSA0d       20090101003500100000010000 0000000000003118   
0601VSA0d       20090101003510100000010000 0000000000003119   
0601VSA0d       20090101003520100000010000 0000000000003120   
0601VSA0d       20090101003530100000010000 0000000000003121   
0601VSA0d       20090101003540100000010000 0000000000003122   
0601VSA0d       20090101003550100000010000 0000000000003124   
0601VSA0d       20090101003560100000010000 0000000000003124   
0601VSA0d       20090101003570100000010000 0000000000003126   
0601VSA0d       20090101003580100000010000 0000000000003127   
0601VSA0d       20090101003590100000010000 0000000000003128   
0601VSA0d       20090101003600100000010000 0000000000003129   
0601VSA0d       20090101003610100000010000 0000000000003130   
0601VSA0d       20090101003620100000010000 0000000000003131   
0601VSA0d       20090101003630100000010000 0000000000003132   
0601VSA0d       20090101003640100000010000 0000000000003133   
0601VSA0d       20090101003650100000010000 0000000000003134   
0601VSA0d       20090101003660100000010000 0000000000003135   
0601VSA0d       20090101003670100000010000 0000000000003136   
0601VSA0d       20090101003680100000010000 0000000000003137   
0601VSA0d       20090101003690100000010000 0000000000003138   
0601VSA0d       20090101003700100000010000 0000000000003139   
0601VSA0d       20090101003710100000010000 0000000000003140   
0601VSA0d       20090101003720100000010000 0000000000003141   
0601VSA0d       20090101003730100000010000 0000000000003142   
0601VSA0d       20090101003740100000010000 0000000000003143   
0601VSA0d       20090101003750100000010000 0000000000003144   
0601VSA0d       20090101003760100000010000 0000000000003145   
0601VSA0d       20090101003770100000010000 0000000000003146   
0601VSA0d       20090101003780100000010000 0000000000003146   
0601VSA0d       20090101003790100000010000 0000000000003148   
0601VSA0d       20090101003800100000010000 0000000000003149   
0601VSA0d       20090101003810100000010000 0000000000003150   
0601VSA0d       20090101003820100000010000 0000000000003150   
0601VSA0d       20090101003830100000010000 0000000000003151   
0601VSA0d       20090101003840100000010000 0000000000003152   
0601VSA0d       20090101003850100000010000 0000000000003153   
0601VSA0d       20090101003860100000010000 0000000000003154   
0601VSA0d       20090101003870100000010000 0000000000003155   
0601VSA0d       20090101003880100000010000 0000000000003156   
0601VSA0d       20090101003890100000010000 0000000000003157   
0601VSA0d       20090101003900100000010000 0000000000003158   
0601VSA0d       20090101003910100000010000 0000000000003159   
0601VSA0d       20090101003920100000010000 0000000000003160   
0601VSA0d       20090101003930100000010000 0000000000003160   
0601VSA0d       20090101003940100000010000 0000000000003161   
0601VSA0d       20090101003950100000010000 0000000000003162   
0601VSA0d       20090101003960100000010000 0000000000003163   
0601VSA0d       20090101003970100000010000 0000000000003164   
0601VSA0d       20090101003980100000010000 0000000000003165   
0601VSA0d       20090101003990100000010000 0000000000003166   
0601VSA0d       20090101004000100000010000 0000000000003167   
0601VSA0d       20090101004010100000010000 0000000000003167   
0601VSA0d       20090101004020100000010000 0000000000003168   
0601VSA0d       20090101004030100000010000 0000000000003169   
0601VSA0d       20090101004040100000010000 0000000000003170   
0601VSA0d       20090101004050100000010000 0000000000003171   
0601VSA0d       20090101004060100000010000 0000000000003172   
0601VSA0d       20090101004070100000010000 0000000000003172   
0601VSA0d       20090101004080100000010000 0000000000003173   
0601VSA0d       20090101004090100000010000 0000000000003174   
0601VSA0d       20090101004100100000010000 0000000000003175   
0601VSA0d       20090101004110100000010000 0000000000003176   
0601VSA0d       20090101004120100000010000 0000000000003176   
0601VSA0d       20090101004130100000010000 0000000000003177   
0601VSA0d       20090101004140100000010000 0000000000003178   
0601VSA0d       20090101004150100000010000 0000000000003179   
0601VSA0d       20090101004160100000010000 0000000000003179   
0601VSA0d       20090101004170100000010000 0000000000003180   
0601VSA0d       20090101004180100000010000 0000000000003181   
0601VSA0d       20090101004190100000010000 0000000000003182   
0601VSA0d       20090101004200100000010000 0000000000003183   
0601VSA0d       20090101004210100000010000 0000000000003183   
0601VSA0d       20090101004220100000010000 0000000000003184   
0601VSA0d       20090101004230100000010000 0000000000003185   
0601VSA0d       20090101004240100000010000 0000000000003186   
0601VSA0d       20090101004250100000010000 0000000000003187   
0601VSA0d       20090101004260100000010000 0000000000003187   
0601VSA0d       20090101004270100000010000 0000000000003188   
0601VSA0d       20090101004280100000010000 0000000000003189   
0601VSA0d       20090101004290100000010000 0000000000003190   
0601VSA0d       20090101004300100000010000 0000000000003190   
0601VSA0d       20090101004310100000010000 0000000000003191   
0601VSA0d       20090101004320100000010000 0000000000003192   
0601VSA0d       20090101004330100000010000 0000000000003192   
0601VSA0d       20090101004340100000010000 0000000000003193   
0601VSA0d       20090101004350100000010000 0000000000003194   
0601VSA0d       20090101004360100000010000 0000000000003195   
0601VSA0d       20090101004370100000010000 0000000000003195   
0601VSA0d       20090101004380100000010000 0000000000003196   
0601VSA0d       20090101004390100000010000 0000000000003197   
0601VSA0d       20090101004400100000010000 0000000000003197   
0601VSA0d       20090101004410100000010000 0000000000003198   
0601VSA0d       20090101004420100000010000 0000000000003199   
0601VSA0d       20090101004430100000010000 0000000000003199   
0601VSA0d       20090101004440100000010000 0000000000003200   
0601VSA0d       20090101004450100000010000 0000000000003201   
0601VSA0d       20090101004460100000010000 0000000000003201   
0601VSA0d       20090101004470100000010000 0000000000003202   
0601VSA0d       20090101004480100000010000 0000000000003203   
0601VSA0d       20090101004490100000010000 0000000000003204   
0601VSA0d       20090101004500100000010000 0000000000003204   
0601VSA0d       20090101004510100000010000 0000000000003205   
0601VSA0d       20090101004520100000010000 0000000000003206   
0601VSA0d       20090101004530100000010000 0000000000003206   
0601VSA0d       20090101004540100000010000 0000000000003207   
0601VSA0d       20090101004550100000010000 0000000000003208   
0601VSA0d       20090101004560100000010000 0000000000003208   
0601VSA0d       20090101004570100000010000 0000000000003209   
0601VSA0d       20090101004580100000010000 0000000000003209   
0601VSA0d       20090101004590100000010000 0000000000003210   
0601VSA0d       20090101004600100000010000 0000000000003211   
0601VSA0d       20090101004610100000010000 0000000000003211   
0601VSA0d       20090101004620100000010000 0000000000003212   
0601VSA0d       20090101004630100000010000 0000000000003213   
0601VSA0d       20090101004640100000010000 0000000000003213   
0601VSA0d       20090101004650100000010000 0000000000003214   
0601VSA0d       20090101004660100000010000 0000000000003215   
0601VSA0d       20090101004670100000010000 0000000000003215   
0601VSA0d       20090101004680100000010000 0000000000003216   
0601VSA0d       20090101004690100000010000 0000000000003216   
0601VSA0d       20090101004700100000010000 0000000000003217   
0601VSA0d       20090101004710100000010000 0000000000003218   
0601VSA0d       20090101004720100000010000 0000000000003218   
0601VSA0d       20090101004730100000010000 0000000000003219   
0601VSA0d       20090101004740100000010000 0000000000003220   
0601VSA0d       20090101004750100000010000 0000000000003220   
0601VSA0d       20090101004760100000010000 0000000000003221   
0601VSA0d       20090101004770100000010000 0000000000003221   
0601VSA0d       20090101004780100000010000 0000000000003222   
0601VSA0d       20090101004790100000010000 0000000000003223   
0601VSA0d       20090101004800100000010000 0000000000003223   
0601VSA0d       20090101004810100000010000 0000000000003224   
0601VSA0d       20090101004820100000010000 0000000000003224   
0601VSA0d       20090101004830100000010000 0000000000003225   
0601VSA0d       20090101004840100000010000 0000000000003225   
0601VSA0d       20090101004850100000010000 0000000000003226   
0601VSA0d       20090101004860100000010000 0000000000003227   
0601VSA0d       20090101004870100000010000 0000000000003227   
0601VSA0d       20090101004880100000010000 0000000000003228   
0601VSA0d       20090101004890100000010000 0000000000003228   
0601VSA0d       20090101004900100000010000 0000000000003229   
0601VSA0d       20090101004910100000010000 0000000000003229   
0601VSA0d       20090101004920100000010000 0000000000003230   
0601VSA0d       20090101004930100000010000 0000000000003230   
0601VSA0d       20090101004940100000010000 0000000000003231   
0601VSA0d       20090101004950100000010000 0000000000003232   
0601VSA0d       20090101004960100000010000 0000000000003232   
0601VSA0d       20090101004970100000010000 0000000000003233   
0601VSA0d       20090101004980100000010000 0000000000003233   
0601VSA0d       20090101004990100000010000 0000000000003234   
0601VSA0d       20090101005000100000010000 0000000000003234   
0601VSB0d       20090101000000100000050000 0000000000000000   
0601VSB0d       20090101000050100000010000 0000000000000000   
0601VSB0d       20090101000060100000010000 0000000000000000   
0601VSB0d       20090101000070100000010000 0000000000000000   
0601VSB0d       20090101000080100000010000 0000000000000000   
0601VSB0d       20090101000090100000010000 0000000000000000   
0601VSB0d       20090101000100100000010000 0000000000000000   
0601VSB0d       20090101000110100000010000 0000000000000000   
0601VSB0d       20090101000120100000010000 0000000000000000   
0601VSB0d       20090101000130100000010000 0000000000000000   
0601VSB0d       20090101000140100000010000 0000000000000000   
0601VSB0d       20090101000150100000010000 0000000000000000   
0601VSB0d       20090101000160100000010000 0000000000000000   
0601VSB0d       20090101000170100000010000 0000000000000000   
0601VSB0d       20090101000180100000010000 0000000000000000   
0601VSB0d       20090101000190100000010000 0000000000000000   
0601VSB0d       20090101000200100000010000 0000000000000000   
0601VSB0d       20090101000210100000010000 0000000000000000   
0601VSB0d       20090101000220100000010000 0000000000000000   
0601VSB0d       20090101000230100000010000 0000000000000000   
0601VSB0d       20090101000240100000010000 0000000000000000   
0601VSB0d       20090101000250100000010000 0000000000000008   
0601VSB0d       20090101000260100000010000 0000000000000030   
0601VSB0d       20090101000270100000010000 0000000000000049   
0601VSB0d       20090101000280100000010000 0000000000000081   
0601VSB0d       20090101000290100000010000 0000000000000115   
0601VSB0d       20090101000300100000010000 0000000000000150   
0601VSB0d       20090101000310100000010000 0000000000000181   
0601VSB0d       20090101000320100000010000 0000000000000211   
0601VSB0d       20090101000330100000010000 0000000000000244   
0601VSB0d       20090101000340100000010000 0000000000000273   
0601VSB0d       20090101000350100000010000 0000000000000304   
0601VSB0d       20090101000360100000010000 0000000000000338   
0601VSB0d       20090101000370100000010000 0000000000000370   
0601VSB0d       20090101000380100000010000 0000000000000398   
0601VSB0d       20090101000390100000010000 0000000000000428   
0601VSB0d       20090101000400100000010000 0000000000000450   
0601VSB0d       20090101000410100000010000 0000000000000473   
0601VSB0d       20090101000420100000010000 0000000000000492   
0601VSB0d       20090101000430100000010000 0000000000000511   
