00VS               20081217                                                                                   
0601VSA0d       20090101000000100000050000 0000000000000000   
0601VSA0d       20090101000050100000010000 0000000000000000   
0601VSA0d       20090101000060100000010000 0000000000000000   
0601VSA0d       20090101000070100000010000 0000000000000000   
0601VSA0d       20090101000080100000010000 0000000000000000   
0601VSA0d       20090101000090100000010000 0000000000000000   
0601VSA0d       20090101000100100000010000 0000000000000000   
0601VSA0d       20090101000110100000010000 0000000000000000   
0601VSA0d       20090101000120100000010000 0000000000000000   
0601VSA0d       20090101000130100000010000 0000000000000000   
0601VSA0d       20090101000140100000010000 0000000000000000   
0601VSA0d       20090101000150100000010000 0000000000000000   
0601VSA0d       20090101000160100000010000 0000000000000027   
0601VSA0d       20090101000170100000010000 0000000000000046   
0601VSA0d       20090101000180100000010000 0000000000000083   
0601VSA0d       20090101000190100000010000 0000000000000100   
0601VSA0d       20090101000200100000010000 0000000000000129   
0601VSA0d       20090101000210100000010000 0000000000000155   
0601VSA0d       20090101000220100000010000 0000000000000197   
0601VSA0d       20090101000230100000010000 0000000000000241   
0601VSA0d       20090101000240100000010000 0000000000000263   
0601VSA0d       20090101000250100000010000 0000000000000308   
0601VSA0d       20090101000260100000010000 0000000000000331   
0601VSA0d       20090101000270100000010000 0000000000000384   
0601VSA0d       20090101000280100000010000 0000000000000406   
0601VSA0d       20090101000290100000010000 0000000000000461   
0601VSA0d       20090101000300100000010000 0000000000000518   
0601VSA0d       20090101000310100000010000 0000000000000539   
0601VSA0d       20090101000320100000010000 0000000000000596   
0601VSA0d       20090101000330100000010000 0000000000000616   
0601VSA0d       20090101000340100000010000 0000000000000674   
0601VSA0d       20090101000350100000010000 0000000000000695   
0601VSA0d       20090101000360100000010000 0000000000000752   
0601VSA0d       20090101000370100000010000 0000000000000775   
0601VSA0d       20090101000380100000010000 0000000000000794   
0601VSA0d       20090101000390100000010000 0000000000000816   
0601VSA0d       20090101000400100000010000 0000000000000835   
0601VSA0d       20090101000410100000010000 0000000000000853   
0601VSA0d       20090101000420100000010000 0000000000000875   
0601VSA0d       20090101000430100000010000 0000000000000896   
0601VSA0d       20090101000440100000010000 0000000000000921   
0601VSA0d       20090101000450100000010000 0000000000000942   
0601VSA0d       20090101000460100000010000 0000000000000967   
0601VSA0d       20090101000470100000010000 0000000000000988   
0601VSA0d       20090101000480100000010000 0000000000001013   
0601VSA0d       20090101000490100000010000 0000000000001034   
0601VSA0d       20090101000500100000010000 0000000000001052   
0601VSA0d       20090101000510100000010000 0000000000001074   
0601VSA0d       20090101000520100000010000 0000000000001092   
0601VSA0d       20090101000530100000010000 0000000000001113   
0601VSA0d       20090101000540100000010000 0000000000001131   
0601VSA0d       20090101000550100000010000 0000000000001148   
0601VSA0d       20090101000560100000010000 0000000000001166   
0601VSA0d       20090101000570100000010000 0000000000001182   
0601VSA0d       20090101000580100000010000 0000000000001199   
0601VSA0d       20090101000590100000010000 0000000000001215   
0601VSA0d       20090101000600100000010000 0000000000001231   
0601VSA0d       20090101000610100000010000 0000000000001247   
0601VSA0d       20090101000620100000010000 0000000000001263   
0601VSA0d       20090101000630100000010000 0000000000001278   
0601VSA0d       20090101000640100000010000 0000000000001294   
0601VSA0d       20090101000650100000010000 0000000000001312   
0601VSA0d       20090101000660100000010000 0000000000001325   
0601VSA0d       20090101000670100000010000 0000000000001339   
0601VSA0d       20090101000680100000010000 0000000000001352   
0601VSA0d       20090101000690100000010000 0000000000001366   
0601VSA0d       20090101000700100000010000 0000000000001379   
0601VSA0d       20090101000710100000010000 0000000000001393   
0601VSA0d       20090101000720100000010000 0000000000001409   
0601VSA0d       20090101000730100000010000 0000000000001425   
0601VSA0d       20090101000740100000010000 0000000000001441   
0601VSA0d       20090101000750100000010000 0000000000001457   
0601VSA0d       20090101000760100000010000 0000000000001473   
0601VSA0d       20090101000770100000010000 0000000000001492   
0601VSA0d       20090101000780100000010000 0000000000001508   
0601VSA0d       20090101000790100000010000 0000000000001524   
0601VSA0d       20090101000800100000010000 0000000000001539   
0601VSA0d       20090101000810100000010000 0000000000001554   
0601VSA0d       20090101000820100000010000 0000000000001568   
0601VSA0d       20090101000830100000010000 0000000000001583   
0601VSA0d       20090101000840100000010000 0000000000001597   
0601VSA0d       20090101000850100000010000 0000000000001611   
0601VSA0d       20090101000860100000010000 0000000000001624   
0601VSA0d       20090101000870100000010000 0000000000001638   
0601VSA0d       20090101000880100000010000 0000000000001654   
0601VSA0d       20090101000890100000010000 0000000000001668   
0601VSA0d       20090101000900100000010000 0000000000001681   
0601VSA0d       20090101000910100000010000 0000000000001695   
0601VSA0d       20090101000920100000010000 0000000000001709   
0601VSA0d       20090101000930100000010000 0000000000001724   
0601VSA0d       20090101000940100000010000 0000000000001738   
0601VSA0d       20090101000950100000010000 0000000000001751   
0601VSA0d       20090101000960100000010000 0000000000001765   
0601VSA0d       20090101000970100000010000 0000000000001778   
0601VSA0d       20090101000980100000010000 0000000000001791   
0601VSA0d       20090101000990100000010000 0000000000001804   
0601VSA0d       20090101001000100000010000 0000000000001820   
0601VSA0d       20090101001010100000010000 0000000000001833   
0601VSA0d       20090101001020100000010000 0000000000001848   
0601VSA0d       20090101001030100000010000 0000000000001863   
0601VSA0d       20090101001040100000010000 0000000000001877   
0601VSA0d       20090101001050100000010000 0000000000001892   
0601VSA0d       20090101001060100000010000 0000000000001909   
0601VSA0d       20090101001070100000010000 0000000000001926   
0601VSA0d       20090101001080100000010000 0000000000001941   
0601VSA0d       20090101001090100000010000 0000000000001958   
0601VSA0d       20090101001100100000010000 0000000000001973   
0601VSA0d       20090101001110100000010000 0000000000001989   
0601VSA0d       20090101001120100000010000 0000000000002002   
0601VSA0d       20090101001130100000010000 0000000000002018   
0601VSA0d       20090101001140100000010000 0000000000002033   
0601VSA0d       20090101001150100000010000 0000000000002046   
0601VSA0d       20090101001160100000010000 0000000000002062   
0601VSA0d       20090101001170100000010000 0000000000002077   
0601VSA0d       20090101001180100000010000 0000000000002092   
0601VSA0d       20090101001190100000010000 0000000000002105   
0601VSA0d       20090101001200100000010000 0000000000002120   
0601VSA0d       20090101001210100000010000 0000000000002134   
0601VSA0d       20090101001220100000010000 0000000000002149   
0601VSA0d       20090101001230100000010000 0000000000002162   
0601VSA0d       20090101001240100000010000 0000000000002177   
0601VSA0d       20090101001250100000010000 0000000000002190   
0601VSA0d       20090101001260100000010000 0000000000002203   
0601VSA0d       20090101001270100000010000 0000000000002213   
0601VSA0d       20090101001280100000010000 0000000000002226   
0601VSA0d       20090101001290100000010000 0000000000002240   
0601VSA0d       20090101001300100000010000 0000000000002251   
0601VSA0d       20090101001310100000010000 0000000000002266   
0601VSA0d       20090101001320100000010000 0000000000002279   
0601VSA0d       20090101001330100000010000 0000000000002293   
0601VSA0d       20090101001340100000010000 0000000000002304   
0601VSA0d       20090101001350100000010000 0000000000002318   
0601VSA0d       20090101001360100000010000 0000000000002331   
0601VSA0d       20090101001370100000010000 0000000000002345   
0601VSA0d       20090101001380100000010000 0000000000002356   
0601VSA0d       20090101001390100000010000 0000000000002369   
0601VSA0d       20090101001400100000010000 0000000000002381   
0601VSA0d       20090101001410100000010000 0000000000002393   
0601VSA0d       20090101001420100000010000 0000000000002402   
0601VSA0d       20090101001430100000010000 0000000000002410   
0601VSA0d       20090101001440100000010000 0000000000002417   
0601VSA0d       20090101001450100000010000 0000000000002423   
0601VSA0d       20090101001460100000010000 0000000000002430   
0601VSA0d       20090101001470100000010000 0000000000002438   
0601VSA0d       20090101001480100000010000 0000000000002445   
0601VSA0d       20090101001490100000010000 0000000000002451   
0601VSA0d       20090101001500100000010000 0000000000002458   
0601VSA0d       20090101001510100000010000 0000000000002465   
0601VSA0d       20090101001520100000010000 0000000000002472   
0601VSA0d       20090101001530100000010000 0000000000002477   
0601VSA0d       20090101001540100000010000 0000000000002484   
0601VSA0d       20090101001550100000010000 0000000000002491   
0601VSA0d       20090101001560100000010000 0000000000002498   
0601VSA0d       20090101001570100000010000 0000000000002503   
0601VSA0d       20090101001580100000010000 0000000000002510   
0601VSA0d       20090101001590100000010000 0000000000002516   
0601VSA0d       20090101001600100000010000 0000000000002521   
0601VSA0d       20090101001610100000010000 0000000000002527   
0601VSA0d       20090101001620100000010000 0000000000002533   
0601VSA0d       20090101001630100000010000 0000000000002539   
0601VSA0d       20090101001640100000010000 0000000000002543   
0601VSA0d       20090101001650100000010000 0000000000002550   
0601VSA0d       20090101001660100000010000 0000000000002556   
0601VSA0d       20090101001670100000010000 0000000000002563   
0601VSA0d       20090101001680100000010000 0000000000002569   
0601VSA0d       20090101001690100000010000 0000000000002576   
0601VSA0d       20090101001700100000010000 0000000000002582   
0601VSA0d       20090101001710100000010000 0000000000002589   
0601VSA0d       20090101001720100000010000 0000000000002595   
0601VSA0d       20090101001730100000010000 0000000000002602   
0601VSA0d       20090101001740100000010000 0000000000002608   
0601VSA0d       20090101001750100000010000 0000000000002613   
0601VSA0d       20090101001760100000010000 0000000000002618   
0601VSA0d       20090101001770100000010000 0000000000002624   
0601VSA0d       20090101001780100000010000 0000000000002629   
0601VSA0d       20090101001790100000010000 0000000000002634   
0601VSA0d       20090101001800100000010000 0000000000002639   
0601VSA0d       20090101001810100000010000 0000000000002644   
0601VSA0d       20090101001820100000010000 0000000000002650   
0601VSA0d       20090101001830100000010000 0000000000002654   
0601VSA0d       20090101001840100000010000 0000000000002660   
0601VSA0d       20090101001850100000010000 0000000000002664   
0601VSA0d       20090101001860100000010000 0000000000002670   
0601VSA0d       20090101001870100000010000 0000000000002674   
0601VSA0d       20090101001880100000010000 0000000000002679   
0601VSA0d       20090101001890100000010000 0000000000002684   
0601VSA0d       20090101001900100000010000 0000000000002688   
0601VSA0d       20090101001910100000010000 0000000000002693   
0601VSA0d       20090101001920100000010000 0000000000002698   
0601VSA0d       20090101001930100000010000 0000000000002702   
0601VSA0d       20090101001940100000010000 0000000000002706   
0601VSA0d       20090101001950100000010000 0000000000002711   
0601VSA0d       20090101001960100000010000 0000000000002716   
0601VSA0d       20090101001970100000010000 0000000000002720   
0601VSA0d       20090101001980100000010000 0000000000002724   
0601VSA0d       20090101001990100000010000 0000000000002729   
0601VSA0d       20090101002000100000010000 0000000000002733   
0601VSA0d       20090101002010100000010000 0000000000002738   
0601VSA0d       20090101002020100000010000 0000000000002742   
0601VSA0d       20090101002030100000010000 0000000000002746   
0601VSA0d       20090101002040100000010000 0000000000002750   
0601VSA0d       20090101002050100000010000 0000000000002754   
0601VSA0d       20090101002060100000010000 0000000000002759   
0601VSA0d       20090101002070100000010000 0000000000002763   
0601VSA0d       20090101002080100000010000 0000000000002767   
0601VSA0d       20090101002090100000010000 0000000000002771   
0601VSA0d       20090101002100100000010000 0000000000002775   
0601VSA0d       20090101002110100000010000 0000000000002779   
0601VSA0d       20090101002120100000010000 0000000000002783   
0601VSA0d       20090101002130100000010000 0000000000002787   
0601VSA0d       20090101002140100000010000 0000000000002791   
0601VSA0d       20090101002150100000010000 0000000000002795   
0601VSA0d       20090101002160100000010000 0000000000002799   
0601VSA0d       20090101002170100000010000 0000000000002802   
