00SO               20071026                                                                                   
0601SOA0d       20080101000685100000005000 0000009800001425   
0601SOA0d       20080101000690100000005000 0000009900001430   
0601SOA0d       20080101000695100000005000 0000010000001434   
0601SOA0d       20080101000700100000005000 0000010110001439   
0601SOA0d       20080101000705100000005000 0000010210001443   
0601SOA0d       20080101000710100000005000 0000010320001448   
0601SOA0d       20080101000715100000005000 0000010420001452   
0601SOA0d       20080101000720100000005000 0000010540001459   
0601SOA0d       20080101000725100000005000 0000010660001465   
0601SOA0d       20080101000730100000005000 0000010780001472   
0601SOA0d       20080101000735100000005000 0000010900001478   
0601SOA0d       20080101000740100000005000 0000011010001483   
0601SOA0d       20080101000745100000005000 0000011140001490   
0601SOA0d       20080101000750100000005000 0000011260001496   
0601SOA0d       20080101000755100000005000 0000011390001504   
0601SOA0d       20080101000760100000005000 0000011510001510   
0601SOA0d       20080101000765100000005000 0000011630001515   
0601SOA0d       20080101000770100000005000 0000011760001522   
0601SOA0d       20080101000775100000005000 0000011880001528   
0601SOA0d       20080101000780100000005000 0000012010001535   
0601SOA0d       20080101000785100000005000 0000012130001540   
0601SOA0d       20080101000790100000005000 0000012260001547   
0601SOA0d       20080101000795100000005000 0000012380001552   
0601SOA0d       20080101000800100000005000 0000012510001559   
0601SOA0d       20080101000805100000005000 0000012630001564   
0601SOA0d       20080101000810100000005000 0000012760001570   
0601SOA0d       20080101000815100000005000 0000012880001576   
0601SOA0d       20080101000820100000005000 0000013010001582   
0601SOA0d       20080101000825100000005000 0000013130001587   
0601SOA0d       20080101000830100000005000 0000013260001593   
0601SOA0d       20080101000835100000005000 0000013380001598   
0601SOA0d       20080101000840100000005000 0000013510001604   
0601SOA0d       20080101000845100000005000 0000013640001609   
0601SOA0d       20080101000850100000005000 0000013760001614   
0601SOA0d       20080101000855100000005000 0000013890001620   
0601SOA0d       20080101000860100000005000 0000014010001624   
0601SOA0d       20080101000865100000005000 0000014140001630   
0601SOA0d       20080101000870100000005000 0000014270001636   
0601SOA0d       20080101000875100000005000 0000014390001640   
0601SOA0d       20080101000880100000005000 0000014520001645   
0601SOA0d       20080101000885100000005000 0000014640001650   
0601SOA0d       20080101000890100000005000 0000014770001655   
0601SOA0d       20080101000895100000005000 0000014890001659   
0601SOA0d       20080101000900100000005000 0000015020001664   
0601SOA0d       20080101000905100000005000 0000015140001668   
0601SOA0d       20080101000910100000005000 0000015270001673   
0601SOA0d       20080101000915100000005000 0000015390001677   
0601SOA0d       20080101000920100000005000 0000015520001682   
0601SOA0d       20080101000925100000005000 0000015640001686   
0601SOA0d       20080101000930100000005000 0000015770001691   
0601SOA0d       20080101000935100000005000 0000015890001695   
0601SOA0d       20080101000940100000005000 0000016020001700   
0601SOA0d       20080101000945100000005000 0000016150001704   
0601SOA0d       20080101000950100000005000 0000016270001708   
0601SOA0d       20080101000955100000005000 0000016400001713   
0601SOA0d       20080101000960100000005000 0000016520001716   
0601SOA0d       20080101000965100000005000 0000016650001721   
0601SOA0d       20080101000970100000005000 0000016770001724   
0601SOA0d       20080101000975100000005000 0000016900001729   
0601SOA0d       20080101000980100000005000 0000017020001732   
0601SOA0d       20080101000985100000005000 0000017150001737   
0601SOA0d       20080101000990100000005000 0000017280001741   
0601SOA0d       20080101000995100000005000 0000017400001744   
0601SOA0d       20080101001000100000005000 0000017530001749   
0601SOA0d       20080101001005100000005000 0000017650001752   
0601SOA0d       20080101001010100000005000 0000017790001757   
0601SOA0d       20080101001015100000005000 0000017920001761   
