00ZG               20081202                                                                                   
0601ZGA0d       20090101000585100000005000 0000003990000679   
0601ZGA0d       20090101000590100000005000 0000004060000685   
0601ZGA0d       20090101000595100000005000 0000004120000690   
0601ZGA0d       20090101000600100000005000 0000004180000694   
0601ZGA0d       20090101000605100000005000 0000004240000698   
0601ZGA0d       20090101000610100000005000 0000004300000702   
0601ZGA0d       20090101000615100000005000 0000004370000708   
0601ZGA0d       20090101000620100000005000 0000004430000712   
0601ZGA0d       20090101000625100000005000 0000004490000716   
0601ZGA0d       20090101000630100000005000 0000004550000719   
0601ZGA0d       20090101000635100000005000 0000004620000725   
0601ZGA0d       20090101000640100000005000 0000004680000728   
0601ZGA0d       20090101000645100000005000 0000004750000734   
0601ZGA0d       20090101000650100000005000 0000004810000737   
0601ZGA0d       20090101000655100000005000 0000004880000742   
0601ZGA0d       20090101000660100000005000 0000004940000746   
0601ZGA0d       20090101000665100000005000 0000005010000751   
0601ZGA0d       20090101000670100000005000 0000005070000754   
0601ZGA0d       20090101000675100000005000 0000005140000759   
0601ZGA0d       20090101000680100000005000 0000005200000762   
0601ZGA0d       20090101000685100000005000 0000005260000765   
0601ZGA0d       20090101000690100000005000 0000005330000770   
0601ZGA0d       20090101000695100000005000 0000005390000773   
0601ZGA0d       20090101000700100000005000 0000005460000777   
0601ZGA0d       20090101000705100000005000 0000005520000780   
0601ZGA0d       20090101000710100000005000 0000005590000785   
0601ZGA0d       20090101000715100000005000 0000005660000789   
0601ZGA0d       20090101000720100000005000 0000005730000793   
0601ZGA0d       20090101000725100000005000 0000005810000799   
0601ZGA0d       20090101000730100000005000 0000005890000804   
0601ZGA0d       20090101000735100000005000 0000005960000808   
0601ZGA0d       20090101000740100000005000 0000006040000813   
0601ZGA0d       20090101000745100000005000 0000006120000819   
0601ZGA0d       20090101000750100000005000 0000006200000824   
0601ZGA0d       20090101000755100000005000 0000006270000828   
0601ZGA0d       20090101000760100000005000 0000006350000833   
0601ZGA0d       20090101000765100000005000 0000006430000838   
0601ZGA0d       20090101000770100000005000 0000006510000843   
0601ZGA0d       20090101000775100000005000 0000006600000849   
0601ZGA0d       20090101000780100000005000 0000006680000854   
0601ZGA0d       20090101000785100000005000 0000006760000858   
0601ZGA0d       20090101000790100000005000 0000006840000863   
0601ZGA0d       20090101000795100000005000 0000006930000869   
0601ZGA0d       20090101000800100000005000 0000007010000874   
0601ZGA0d       20090101000805100000005000 0000007090000878   
0601ZGA0d       20090101000810100000005000 0000007180000884   
0601ZGA0d       20090101000815100000005000 0000007260000888   
0601ZGA0d       20090101000820100000005000 0000007340000892   
0601ZGA0d       20090101000825100000005000 0000007430000898   
0601ZGA0d       20090101000830100000005000 0000007510000902   
0601ZGA0d       20090101000835100000005000 0000007590000906   
0601ZGA0d       20090101000840100000005000 0000007680000912   
0601ZGA0d       20090101000845100000005000 0000007760000916   
0601ZGA0d       20090101000850100000005000 0000007840000920   
0601ZGA0d       20090101000855100000005000 0000007930000925   
0601ZGA0d       20090101000860100000005000 0000008010000929   
0601ZGA0d       20090101000865100000005000 0000008100000934   
0601ZGA0d       20090101000870100000005000 0000008180000938   
0601ZGA0d       20090101000875100000005000 0000008270000942   
0601ZGA0d       20090101000880100000005000 0000008350000946   
0601ZGA0d       20090101000885100000005000 0000008440000951   
0601ZGA0d       20090101000890100000005000 0000008520000955   
0601ZGA0d       20090101000895100000005000 0000008610000959   
0601ZGA0d       20090101000900100000005000 0000008690000963   
0601ZGA0d       20090101000905100000005000 0000008780000967   
0601ZGA0d       20090101000910100000005000 0000008860000971   
0601ZGA0d       20090101000915100000005000 0000008950000975   
0601ZGA0d       20090101000920100000005000 0000009030000979   
0601ZGA0d       20090101000925100000005000 0000009120000983   
0601ZGA0d       20090101000930100000005000 0000009200000987   
0601ZGA0d       20090101000935100000005000 0000009290000991   
0601ZGA0d       20090101000940100000005000 0000009370000994   
0601ZGA0d       20090101000945100000005000 0000009460000998   
0601ZGA0d       20090101000950100000005000 0000009550001003   
0601ZGA0d       20090101000955100000005000 0000009640001007   
0601ZGA0d       20090101000960100000005000 0000009730001011   
0601ZGA0d       20090101000965100000005000 0000009820001015   
0601ZGA0d       20090101000970100000005000 0000009900001018   
0601ZGA0d       20090101000975100000005000 0000009990001022   
0601ZGA0d       20090101000980100000005000 0000010080001026   
0601ZGA0d       20090101000985100000005000 0000010170001030   
0601ZGA0d       20090101000990100000005000 0000010260001034   
0601ZGA0d       20090101000995100000005000 0000010350001038   
0601ZGA0d       20090101001000100000005000 0000010440001041   
0601ZGA0d       20090101001005100000005000 0000010520001044   
0601ZGA0d       20090101001010100000005000 0000010620001049   
0601ZGA0d       20090101001015100000005000 0000010720001054   
0601ZGA0d       20090101001020100000005000 0000010810001057   
0601ZGA0d       20090101001025100000005000 0000010910001062   
0601ZGA0d       20090101001030100000005000 0000011010001066   
0601ZGA0d       20090101001035100000005000 0000011110001071   
0601ZGA0d       20090101001040100000005000 0000011210001075   
0601ZGA0d       20090101001045100000005000 0000011300001079   
0601ZGA0d       20090101001050100000005000 0000011400001083   
0601ZGA0d       20090101001055100000005000 0000011500001087   
0601ZGA0d       20090101001060100000005000 0000011610001093   
0601ZGA0d       20090101001065100000005000 0000011710001097   
0601ZGA0d       20090101001070100000005000 0000011820001102   
0601ZGA0d       20090101001075100000005000 0000011920001106   
0601ZGA0d       20090101001080100000005000 0000012020001110   
0601ZGA0d       20090101001085100000005000 0000012130001115   
0601ZGA0d       20090101001090100000005000 0000012230001119   
0601ZGA0d       20090101001095100000005000 0000012340001124   
0601ZGA0d       20090101001100100000005000 0000012440001128   
0601ZGA0d       20090101001105100000005000 0000012540001132   
0601ZGA0d       20090101001110100000005000 0000012650001137   
0601ZGA0d       20090101001115100000005000 0000012750001141   
0601ZGA0d       20090101001120100000005000 0000012860001146   
0601ZGA0d       20090101001125100000005000 0000012960001149   
0601ZGA0d       20090101001130100000005000 0000013060001153   
0601ZGA0d       20090101001135100000005000 0000013170001158   
0601ZGA0d       20090101001140100000005000 0000013270001161   
0601ZGA0d       20090101001145100000005000 0000013380001166   
0601ZGA0d       20090101001150100000005000 0000013480001170   
0601ZGA0d       20090101001155100000005000 0000013590001174   
0601ZGA0d       20090101001160100000005000 0000013690001178   
0601ZGA0d       20090101001165100000005000 0000013800001182   
0601ZGA0d       20090101001170100000005000 0000013910001186   
0601ZGA0d       20090101001175100000005000 0000014020001191   
0601ZGA0d       20090101001180100000005000 0000014120001194   
0601ZGA0d       20090101001185100000005000 0000014230001198   
0601ZGA0d       20090101001190100000005000 0000014340001203   
0601ZGA0d       20090101001195100000005000 0000014440001206   
0601ZGA0d       20090101001200100000005000 0000014550001210   
0601ZGA0d       20090101001205100000005000 0000014660001214   
0601ZGA0d       20090101001210100000005000 0000014770001218   
0601ZGA0d       20090101001215100000005000 0000014870001221   
0601ZGA0d       20090101001220100000005000 0000014980001225   
0601ZGA0d       20090101001225100000005000 0000015090001229   
0601ZGA0d       20090101001230100000005000 0000015200001233   
0601ZGA0d       20090101001235100000005000 0000015300001236   
0601ZGA0d       20090101001240100000005000 0000015410001240   
0601ZGA0d       20090101001245100000005000 0000015520001244   
0601ZGA0d       20090101001250100000005000 0000015630001248   
0601ZGA0d       20090101001255100000005000 0000015730001251   
0601ZGA0d       20090101001260100000005000 0000015840001255   
0601ZGA0d       20090101001265100000005000 0000015950001258   
0601ZGA0d       20090101001270100000005000 0000016050001261   
0601ZGA0d       20090101001275100000005000 0000016160001265   
0601ZGA0d       20090101001280100000005000 0000016270001269   
0601ZGA0d       20090101001285100000005000 0000016380001272   
0601ZGA0d       20090101001290100000005000 0000016500001277   
0601ZGA0d       20090101001295100000005000 0000016620001281   
0601ZGA0d       20090101001300100000005000 0000016730001284   
0601ZGA0d       20090101001305100000005000 0000016850001289   
0601ZGA0d       20090101001310100000005000 0000016970001293   
0601ZGA0d       20090101001315100000005000 0000017080001296   
0601ZGA0d       20090101001320100000005000 0000017200001301   
0601ZGA0d       20090101001325100000005000 0000017320001305   
0601ZGA0d       20090101001330100000005000 0000017440001309   
0601ZGA0d       20090101001335100000005000 0000017550001312   
0601ZGA0d       20090101001340100000005000 0000017670001316   
0601ZGA0d       20090101001345100000005000 0000017790001320   
0601ZGA0d       20090101001350100000005000 0000017900001323   
0601ZGA0d       20090101001355100000005000 0000018020001327   
0601ZGA0d       20090101001360100000005000 0000018140001331   
0601ZGA0d       20090101001365100000005000 0000018260001335   
0601ZGA0d       20090101001370100000005000 0000018370001338   
0601ZGA0d       20090101001375100000005000 0000018490001342   
0601ZGA0d       20090101001380100000005000 0000018610001346   
0601ZGA0d       20090101001385100000005000 0000018730001350   
0601ZGA0d       20090101001390100000005000 0000018840001353   
0601ZGA0d       20090101001395100000005000 0000018950001356   
0601ZGA0d       20090101001400100000005000 0000019060001359   
0601ZGA0d       20090101001405100000005000 0000019160001361   
0601ZGA0d       20090101001410100000005000 0000019270001364   
0601ZGA0d       20090101001415100000005000 0000019370001366   
0601ZGA0d       20090101001420100000005000 0000019470001369   
0601ZGA0d       20090101001425100000005000 0000019580001372   
0601ZGA0d       20090101001430100000005000 0000019680001374   
0601ZGA0d       20090101001435100000005000 0000019780001376   
0601ZGA0d       20090101001440100000005000 0000019890001379   
0601ZGA0d       20090101001445100000005000 0000019990001381   
0601ZGA0d       20090101001450100000005000 0000020090001383   
0601ZGA0d       20090101001455100000005000 0000020200001386   
0601ZGA0d       20090101001460100000005000 0000020300001388   
0601ZGA0d       20090101001465100000005000 0000020400001390   
0601ZGA0d       20090101001470100000005000 0000020510001393   
0601ZGA0d       20090101001475100000005000 0000020610001395   
0601ZGA0d       20090101001480100000005000 0000020720001398   
0601ZGA0d       20090101001485100000005000 0000020820001400   
0601ZGA0d       20090101001490100000005000 0000020920001402   
0601ZGA0d       20090101001495100000005000 0000021030001404   
0601ZGA0d       20090101001500100000005000 0000021130001406   
0601ZGA0d       20090101001505100000005000 0000021230001408   
0601ZGA0d       20090101001510100000005000 0000021340001411   
0601ZGA0d       20090101001515100000005000 0000021440001413   
0601ZGA0d       20090101001520100000005000 0000021540001415   
0601ZGA0d       20090101001525100000005000 0000021650001417   
0601ZGA0d       20090101001530100000005000 0000021750001419   
0601ZGA0d       20090101001535100000005000 0000021860001422   
0601ZGA0d       20090101001540100000005000 0000021960001424   
0601ZGA0d       20090101001545100000005000 0000022060001426   
0601ZGA0d       20090101001550100000005000 0000022170001428   
0601ZGA0d       20090101001555100000005000 0000022270001430   
0601ZGA0d       20090101001560100000005000 0000022370001432   
0601ZGA0d       20090101001565100000005000 0000022480001434   
0601ZGA0d       20090101001570100000005000 0000022580001436   
0601ZGA0d       20090101001575100000005000 0000022680001438   
0601ZGA0d       20090101001580100000005000 0000022790001440   
0601ZGA0d       20090101001585100000005000 0000022890001442   
0601ZGA0d       20090101001590100000005000 0000022990001444   
0601ZGA0d       20090101001595100000005000 0000023100001446   
0601ZGA0d       20090101001600100000005000 0000023200001448   
0601ZGA0d       20090101001605100000005000 0000023310001450   
0601ZGA0d       20090101001610100000005000 0000023410001452   
0601ZGA0d       20090101001615100000005000 0000023510001453   
0601ZGA0d       20090101001620100000005000 0000023620001456   
0601ZGA0d       20090101001625100000005000 0000023720001457   
0601ZGA0d       20090101001630100000005000 0000023820001459   
0601ZGA0d       20090101001635100000005000 0000023930001461   
0601ZGA0d       20090101001640100000005000 0000024030001463   
0601ZGA0d       20090101001645100000005000 0000024130001465   
0601ZGA0d       20090101001650100000005000 0000024240001467   
0601ZGA0d       20090101001655100000005000 0000024360001470   
0601ZGA0d       20090101001660100000005000 0000024470001472   
0601ZGA0d       20090101001665100000005000 0000024580001474   
0601ZGA0d       20090101001670100000005000 0000024700001477   
0601ZGA0d       20090101001675100000005000 0000024810001479   
0601ZGA0d       20090101001680100000005000 0000024920001481   
0601ZGA0d       20090101001685100000005000 0000025040001484   
0601ZGA0d       20090101001690100000005000 0000025150001486   
0601ZGA0d       20090101001695100000005000 0000025260001488   
0601ZGA0d       20090101001700100000005000 0000025380001491   
0601ZGA0d       20090101001705100000005000 0000025490001493   
0601ZGA0d       20090101001710100000005000 0000025610001495   
0601ZGA0d       20090101001715100000005000 0000025720001498   
0601ZGA0d       20090101001720100000005000 0000025830001500   
0601ZGA0d       20090101001725100000005000 0000025950001502   
0601ZGA0d       20090101001730100000005000 0000026060001504   
0601ZGA0d       20090101001735100000005000 0000026170001506   
0601ZGA0d       20090101001740100000005000 0000026290001509   
0601ZGA0d       20090101001745100000005000 0000026400001511   
0601ZGA0d       20090101001750100000005000 0000026510001513   
0601ZGA0d       20090101001755100000005000 0000026630001515   
0601ZGA0d       20090101001760100000005000 0000026740001517   
0601ZGA0d       20090101001765100000005000 0000026850001519   
0601ZGA0d       20090101001770100000005000 0000026970001522   
0601ZGA0d       20090101001775100000005000 0000027080001523   
0601ZGA0d       20090101001780100000005000 0000027190001525   
0601ZGA0d       20090101001785100000005000 0000027310001528   
0601ZGA0d       20090101001790100000005000 0000027420001530   
0601ZGA0d       20090101001795100000005000 0000027530001532   
0601ZGA0d       20090101001800100000005000 0000027650001534   
0601ZGA0d       20090101001805100000005000 0000027760001536   
0601ZGA0d       20090101001810100000005000 0000027870001538   
0601ZGA0d       20090101001815100000005000 0000027990001540   
0601ZGA0d       20090101001820100000005000 0000028100001542   
0601ZGA0d       20090101001825100000005000 0000028210001544   
0601ZGA0d       20090101001830100000005000 0000028330001546   
0601ZGA0d       20090101001835100000005000 0000028440001548   
0601ZGA0d       20090101001840100000005000 0000028550001550   
0601ZGA0d       20090101001845100000005000 0000028670001552   
0601ZGA0d       20090101001850100000005000 0000028780001554   
0601ZGA0d       20090101001855100000005000 0000028890001555   
0601ZGA0d       20090101001860100000005000 0000029010001558   
0601ZGA0d       20090101001865100000005000 0000029120001559   
0601ZGA0d       20090101001870100000005000 0000029230001561   
0601ZGA0d       20090101001875100000005000 0000029350001563   
0601ZGA0d       20090101001880100000005000 0000029460001565   
0601ZGA0d       20090101001885100000005000 0000029570001567   
0601ZGA0d       20090101001890100000005000 0000029690001569   
0601ZGA0d       20090101001895100000005000 0000029800001570   
0601ZGA0d       20090101001900100000005000 0000029920001573   
0601ZGA0d       20090101001905100000005000 0000030030001574   
0601ZGA0d       20090101001910100000005000 0000030140001576   
0601ZGA0d       20090101001915100000005000 0000030260001578   
0601ZGA0d       20090101001920100000005000 0000030370001580   
0601ZGA0d       20090101001925100000005000 0000030480001581   
0601ZGA0d       20090101001930100000005000 0000030600001583   
0601ZGA0d       20090101001935100000005000 0000030710001585   
0601ZGA0d       20090101001940100000005000 0000030820001587   
0601ZGA0d       20090101001945100000005000 0000030940001589   
0601ZGA0d       20090101001950100000005000 0000031050001590   
0601ZGA0d       20090101001955100000005000 0000031160001592   
0601ZGA0d       20090101001960100000005000 0000031280001594   
0601ZGA0d       20090101001965100000005000 0000031390001595   
0601ZGA0d       20090101001970100000005000 0000031500001597   
0601ZGA0d       20090101001975100000005000 0000031620001599   
0601ZGA0d       20090101001980100000005000 0000031730001601   
0601ZGA0d       20090101001985100000005000 0000031840001602   
0601ZGA0d       20090101001990100000005000 0000031960001604   
0601ZGA0d       20090101001995100000005000 0000032070001606   
0601ZGA0d       20090101002000100000005000 0000032180001607   
0601ZGA0d       20090101002005100000005000 0000032300001609   
0601ZGA0d       20090101002010100000005000 0000032410001610   
0601ZGA0d       20090101002015100000005000 0000032520001612   
0601ZGA0d       20090101002020100000005000 0000032640001614   
0601ZGA0d       20090101002025100000005000 0000032750001615   
0601ZGA0d       20090101002030100000005000 0000032860001617   
0601ZGA0d       20090101002035100000005000 0000032980001619   
0601ZGA0d       20090101002040100000005000 0000033090001620   
0601ZGA0d       20090101002045100000005000 0000033200001621   
0601ZGA0d       20090101002050100000005000 0000033320001623   
0601ZGA0d       20090101002055100000005000 0000033430001625   
0601ZGA0d       20090101002060100000005000 0000033540001626   
0601ZGA0d       20090101002065100000005000 0000033660001628   
0601ZGA0d       20090101002070100000005000 0000033770001629   
0601ZGA0d       20090101002075100000005000 0000033890001631   
0601ZGA0d       20090101002080100000005000 0000034000001633   
0601ZGA0d       20090101002085100000005000 0000034110001634   
0601ZGA0d       20090101002090100000005000 0000034230001636   
0601ZGA0d       20090101002095100000005000 0000034340001637   
0601ZGA0d       20090101002100100000005000 0000034450001639   
0601ZGA0d       20090101002105100000005000 0000034570001640   
0601ZGA0d       20090101002110100000005000 0000034680001642   
0601ZGA0d       20090101002115100000005000 0000034790001643   
0601ZGA0d       20090101002120100000005000 0000034910001645   
0601ZGA0d       20090101002125100000005000 0000035020001646   
0601ZGA0d       20090101002130100000005000 0000035130001647   
0601ZGA0d       20090101002135100000005000 0000035250001649   
0601ZGA0d       20090101002140100000005000 0000035360001650   
0601ZGA0d       20090101002145100000005000 0000035470001652   
0601ZGA0d       20090101002150100000005000 0000035590001653   
0601ZGA0d       20090101002155100000005000 0000035700001655   
0601ZGA0d       20090101002160100000005000 0000035810001656   
0601ZGA0d       20090101002165100000005000 0000035930001658   
0601ZGA0d       20090101002170100000005000 0000036040001659   
0601ZGA0d       20090101002175100000005000 0000036150001660   
0601ZGA0d       20090101002180100000005000 0000036270001662   
0601ZGA0d       20090101002185100000005000 0000036380001663   
0601ZGA0d       20090101002190100000005000 0000036490001664   
0601ZGA0d       20090101002195100000005000 0000036610001666   
0601ZGA0d       20090101002200100000005000 0000036720001667   
0601ZGA0d       20090101002205100000005000 0000036830001668   
0601ZGA0d       20090101002210100000005000 0000036950001670   
0601ZGA0d       20090101002215100000005000 0000037060001671   
0601ZGA0d       20090101002220100000005000 0000037170001672   
0601ZGA0d       20090101002225100000005000 0000037290001674   
0601ZGA0d       20090101002230100000005000 0000037400001675   
0601ZGA0d       20090101002235100000005000 0000037510001676   
0601ZGA0d       20090101002240100000005000 0000037630001678   
0601ZGA0d       20090101002245100000005000 0000037740001679   
0601ZGA0d       20090101002250100000005000 0000037850001680   
0601ZGA0d       20090101002255100000005000 0000037970001682   
0601ZGA0d       20090101002260100000005000 0000038080001683   
0601ZGA0d       20090101002265100000005000 0000038200001685   
0601ZGA0d       20090101002270100000005000 0000038310001686   
0601ZGA0d       20090101002275100000005000 0000038420001687   
0601ZGA0d       20090101002280100000005000 0000038540001688   
0601ZGA0d       20090101002285100000005000 0000038650001690   
0601ZGA0d       20090101002290100000005000 0000038760001691   
0601ZGA0d       20090101002295100000005000 0000038880001692   
0601ZGA0d       20090101002300100000005000 0000038990001693   
0601ZGA0d       20090101002305100000005000 0000039100001694   
0601ZGA0d       20090101002310100000005000 0000039220001696   
0601ZGA0d       20090101002315100000005000 0000039330001697   
0601ZGA0d       20090101002320100000005000 0000039440001698   
0601ZGA0d       20090101002325100000005000 0000039560001700   
0601ZGA0d       20090101002330100000005000 0000039670001701   
0601ZGA0d       20090101002335100000005000 0000039780001702   
0601ZGA0d       20090101002340100000005000 0000039900001703   
0601ZGA0d       20090101002345100000005000 0000040010001704   
0601ZGA0d       20090101002350100000005000 0000040120001705   
0601ZGA0d       20090101002355100000005000 0000040240001707   
0601ZGA0d       20090101002360100000005000 0000040350001708   
0601ZGA0d       20090101002365100000005000 0000040460001709   
0601ZGA0d       20090101002370100000005000 0000040580001710   
0601ZGA0d       20090101002375100000005000 0000040690001711   
0601ZGA0d       20090101002380100000005000 0000040800001712   
0601ZGA0d       20090101002385100000005000 0000040920001714   
0601ZGA0d       20090101002390100000005000 0000041030001715   
0601ZGA0d       20090101002395100000005000 0000041140001716   
0601ZGA0d       20090101002400100000005000 0000041260001717   
0601ZGA0d       20090101002405100000005000 0000041370001718   
0601ZGA0d       20090101002410100000005000 0000041480001719   
0601ZGA0d       20090101002415100000005000 0000041600001721   
0601ZGA0d       20090101002420100000005000 0000041710001722   
0601ZGA0d       20090101002425100000005000 0000041820001723   
0601ZGA0d       20090101002430100000005000 0000041940001724   
0601ZGA0d       20090101002435100000005000 0000042050001725   
0601ZGA0d       20090101002440100000005000 0000042160001726   
0601ZGA0d       20090101002445100000005000 0000042280001727   
0601ZGA0d       20090101002450100000005000 0000042390001728   
0601ZGA0d       20090101002455100000005000 0000042510001730   
0601ZGA0d       20090101002460100000005000 0000042620001731   
0601ZGA0d       20090101002465100000005000 0000042730001732   
0601ZGA0d       20090101002470100000005000 0000042850001733   
